	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
AAK1	1.0767721755056154	1.0763446056698545	0.9790336298576285	1.2481216619205924	1.0219914522927644	0.4138664325889436	0.9335975118850977	1.027625087256422	0.992504179045	0.9542041386504954	1.2515551666655385	0.5631071995176367	0.47331438496645717	0.9127246161794265	0.9616519713215355	0.8406297638726286	0.9010052838725668	0.8888244420621314	0.9073089648554413	1.2590397381522536	1.2592724173181957	1.09193410978797	0.5928887331842847	0.9738985931067035	0.5586722996254339	0.9642401334124728	0.813748847176897	-0.12961121758563654	0.28283552206970275	0.2604398899276721	0.19560707685264278	0.2736578160205918	0.24593120677736846	0.2988354512429314	0.05963322110443525	0.1520754291060109	0.6748197910744849	0.07018775800765531	0.5994180954634487	0.12938693611902696	0.18792551533521262
AARS2	0.916355669608629	1.2057990041658964	1.1573626928260183	1.2991401489115089	0.984051914290283	0.8129612744959551	1.1396052590558958	1.1222175420625797	1.0233138403568296	0.9097658881947497	1.2221308751652202	0.7899918319880219	0.7218822817618411	0.9674663881727803	0.8604496614293895	0.928186606466445	0.9048516485087141	0.7768902562928712	0.9989025549359378	1.2126826158874788	1.0587945721151253	0.8295854003053547	0.6141676095690525	0.8603301861925661	0.6680417509734835	0.653649580137704	1.0897315687130065	0.22197845975615094	0.37924673369031847	0.4482023261429706	0.470120123983921	0.3626853652031181	0.5351309329579026	0.4392038714381479	0.21371103595092378	0.4363498574842326	0.28763233434547386	0.2599532042602639	1.0508390968403285	0.295388246587335	0.35828578807570555
AATK	0.8935114179730211	0.8225363030655743	1.1168655132635557	0.9917137179989672	0.9795717333056972	0.6267675895032705	0.8065109028332206	0.7916279768926693	1.0843087826273656	0.9276151930842643	0.9623812659838293	0.7793677247371991	0.7790017850559514	0.9999678322352947	0.8105188439334015	0.6508174635632846	0.8802192159164325	1.000383730638243	0.9968487533173909	0.9686683218466097	0.9526218137891637	0.7070456335943425	0.762071612220397	0.9048307278350572	0.7360373904627651	0.7587536530409454	0.7019338274904676	0.2861891192081728	-0.3142291175704699	0.7708229801453299	0.11756517478398276	-0.18559866787509938	0.0012915004643536676	-0.21466488551344565	0.25405823629148216	0.33094736072578235	0.48140383191390956	-0.03013158086017298	0.005591556892695637	0.062049791610311766	0.10670779747610148
ABCA3	1.0151670251279796	0.8551441447667836	0.9686424301057319	1.233088123796401	0.9739458818696587	0.7180840358658047	0.8806925455781771	1.0696590131043382	0.7591344994750053	0.8678591092942565	1.0056608380039602	0.6359332434165812	0.6840404738519421	0.8522512920471907	1.081942258519332	0.7278810477252851	0.8865241002564397	0.8524427209869883	0.8672741131635475	0.881278545706822	0.9235418388227097	0.9542002544623616	0.9799303789001717	1.0375046405400479	0.5895003468724891	0.9752627924957107	1.0441581348619149	0.3608990528268854	0.4168147098764916	0.45964894315198435	0.2736496241926798	0.2935394926367818	0.5032522388464526	0.4800525238733395	0.14726736800703133	0.19133651874380364	0.5083394963881607	0.2869238155705045	0.7794196084399125	0.23137729509536764	0.3721391443863755
ABL1	1.0951177073709775	0.7548257352922407	1.0435000002085117	1.1877299889622503	0.805874468294911	0.4345227744781859	1.0919016847623584	1.0993894136051754	0.8452331386670462	0.961101946710722	1.0191058095607959	0.5703788856198977	0.33921920672218464	0.7807597081799411	1.056856164360045	0.7913476808053761	0.9217411342906776	1.045430610683204	0.8554298602367987	0.9100496372429512	0.9298111449320605	1.0000465671559735	0.7282572048470173	1.0901786892695569	0.5871235789672244	1.0397837124363023	0.7796345919499745	0.03387303806118824	0.25462025394334953	0.3644062819308389	0.18794791183149817	0.15249886620435005	0.3235755895959831	0.33330294819260375	0.1295247861609501	0.09775701733470221	0.4893592838391574	0.022720275759021025	0.459980011872267	0.022112315965880036	0.08596026772022247
ABR	0.7663260311203408	0.6790795979898165	0.8001807840936421	1.2433172510835995	0.7236983329793822	0.4711731963813728	0.5261761551572035	1.0488414448776093	0.6496126137401819	1.0537157351472775	0.8473861600887413	0.5826723439071573	0.4744404530061961	0.7510819582087886	1.020094379059578	0.5920731943570052	0.8594793322948164	0.8242950235456896	0.7502466239681795	0.8626673986681772	0.8252477212617413	0.6688913766355469	0.8004290362953623	0.8239735694059398	0.5782315005726901	0.9703353294821586	0.9178518839308625	0.4281141246604734	0.40449560378280935	0.3891570184004194	0.1396158103580203	0.2507843947125812	0.22071414651791887	0.2862145319747177	0.0657852909646075	0.0531539466986366	0.2456270137752854	0.21302539840195422	0.20465214281617505	0.2942701673800574	0.365078285903883
ACSS1	0.8129117995719136	1.0584920358701218	1.0460607538702442	0.8834434544970851	1.0463707403511577	0.7610277875062593	0.8417717196687533	0.778185271139143	1.0148557294494276	0.9000648660574341	1.1210832411289324	0.6325685756295387	0.7408146235562348	0.9788223329635548	0.8362943320263458	0.6053122050736194	1.0325874128962518	0.577128456640784	0.9283961609062328	1.1062036914630953	1.0239225857886658	0.770234048400015	0.7764595936765298	0.7773050564840183	0.7176257085386322	0.7208601126436158	0.7838339357448993	0.3818195977414276	-0.07855302154229404	0.7224805416533882	0.1980711891856859	0.5122308705453621	0.20648957604803564	0.023049466026322518	0.23806659417504794	0.1946461463736704	0.1554579771593969	0.21383959182306	0.7502140054318536	0.2327361572026445	0.27824171586218505
ADAM5P	0.9757423036973678	0.7877870256329629	1.0740949220977716	0.7000775295997083	0.8541341075413948	0.6873769479978334	0.6355414635200342	1.010741252952389	0.6440445360051751	0.7932530650936207	1.0790762673844292	0.5234391630168808	0.5521703014069237	0.7614946362755572	0.7678678443204459	0.7394015274160606	1.0674515784237004	1.0704622621532056	0.8071626143474113	0.8022403889074685	0.66348478013251	0.7299210953676312	0.8360859475949385	0.8125819336295794	0.39367597077664807	0.833248416375286	0.8432060142277225	0.08629439531853667	0.3386473503083217	0.265295341543478	0.2952186194642743	0.3418756924997012	0.30888969652738485	0.5657483809583486	0.37442947146532535	0.36834167721225364	0.2589061910680147	0.2730318488251514	0.4523607219901087	0.10938102759454349	0.3978632944516258
ADCK5	0.8880514575482552	0.9899981727095635	0.9016628793436321	1.1169684439255603	1.0490472975866592	0.8235119224960123	0.32785139838746735	1.166731228761582	0.9376520977518132	0.8805427371321972	0.6843068511942434	0.8622203936639079	0.736578054834454	0.9574511975752511	1.0069218464728977	0.82127588830103	1.1267687778582092	0.7976964759417045	1.0220412592835029	1.0513898970924949	1.1564564035956924	0.7220521005653278	1.0671413524364382	1.0209034908568446	0.8586725037456584	0.9145017026353206	0.9596835571043418	-0.24418751560928253	0.02263870210451646	0.621603730421282	0.321146511135177	-0.01639681432772333	0.23320808168552842	0.2669185479077383	0.07974990005707783	0.25040689605748945	0.21195335483581612	0.29280794711311353	0.9989400128233084	0.323174008040815	0.39141852497816965
ADIG	0.8743312070212159	1.1231902715306994	1.4584937996854732	0.98698549546077	0.9358569819272908	0.7102472585302904	0.914063577523347	1.0209124961800278	0.905489201076958	0.9757505962342785	0.9587885778949143	0.9663219833070213	0.841368705090555	0.9402384266393531	1.0518938334201575	0.7152007630647228	0.8816915124663458	0.6718581911965433	0.9322894627448814	1.0922990411226952	0.763327889157102	1.002550857902201	0.8588559514119076	1.0205384342650898	0.6458748190988022	0.8652084830766977	0.970511358192713	0.32611175544500437	0.2393590315845504	0.596675895950626	0.31496162777768166	0.15563200029754576	0.4772298050396726	0.46021621239508015	0.1814671703687658	0.15376999003633784	0.6074845661488419	0.21553466660916598	0.9148437129909537	0.22906373320620066	0.29631484880082937
