	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
0	-0.7117912	0.77834636	0.60412097	0.24120261	1.3730032	-1.348019	-0.61678374	0.78640074	-0.016181288	0.48718303	-0.48626062	-1.0936774	0.9630102	-0.7067241	0.6793981	0.19361474	-0.40774897	-0.8150332	0.8649059	-0.036069885	-0.26003122	-0.0027342904	0.075087614	-0.27329433	-0.5747466	-0.5961266	0.13001645	-0.33630848	0.6643864	-0.025417548	0.06435351	-0.03586238	-0.36235893	-0.4834292	0.095915474	-0.21084687	0.59656084	0.017589891	-0.6501129	0.18479395	0.3474453	-0.004644133	0.8891778	0.6846973	0.9297869	0.06035539	0.3867716	-0.22332382	-1.1494366	-0.5977978	0.7933278	-0.099677734	-0.8449101	-0.0370606	-0.3926088	-0.59324455	-0.05245901	0.65002733	-0.5188502	-0.24613117	0.3478425	-0.16117053	0.08038819	-0.55740637	-1.0192568	-0.5662534	-0.72306716	-0.3140543	-1.9763124	-0.07922203	0.76896465	-0.38410634	1.1305803	0.5769575	0.6002099
1	-0.6983995	0.7394903	0.6072579	0.22442171	1.3145491	-1.3233975	-0.59946585	0.7725511	-0.03150983	0.47152206	-0.48432037	-1.0551621	0.93985116	-0.676825	0.6679262	0.19603047	-0.40565252	-0.79355305	0.83372235	-0.031009251	-0.25877792	-0.011247543	0.0716149	-0.26733825	-0.5578134	-0.57046884	0.1254765	-0.32054082	0.6418613	-0.032977536	0.057703346	-0.0379846	-0.3607568	-0.45429423	0.08970607	-0.19653046	0.57467204	0.023242718	-0.62891	0.18867107	0.34089315	-0.006284669	0.84611183	0.66601974	0.9126958	0.06623025	0.37088054	-0.22322103	-1.1070276	-0.57492965	0.76472896	-0.105627306	-0.82503235	-0.021089159	-0.37542236	-0.5905387	-0.05126316	0.6395292	-0.51125526	-0.24679926	0.3371332	-0.16235033	0.07212026	-0.53674394	-0.9901315	-0.5517195	-0.71722984	-0.30923244	-1.9254316	-0.088900685	0.7469673	-0.3852939	1.1024659	0.55802155	0.592151
2	-0.68877155	0.78608847	0.616567	0.23060066	1.3661121	-1.3458352	-0.6179773	0.7884875	-0.010541713	0.4873687	-0.4800447	-1.1012865	0.9505269	-0.69577837	0.683818	0.1818902	-0.41177237	-0.81918544	0.8587711	-0.031482067	-0.22245531	-0.011500816	0.09064569	-0.27246818	-0.57346326	-0.56703806	0.13806418	-0.33922443	0.6440721	-0.03153759	0.06842128	-0.053789742	-0.36493692	-0.4718611	0.0908424	-0.21312854	0.588155	0.00831802	-0.64314544	0.17873888	0.37318724	-0.008676518	0.899473	0.699709	0.9310594	0.058537167	0.3669371	-0.21110967	-1.1223155	-0.61901057	0.7844133	-0.12596713	-0.8398935	-0.02068418	-0.37471038	-0.5950706	-0.058318246	0.6414112	-0.5152389	-0.2247094	0.35159314	-0.16940184	0.068705834	-0.52452147	-1.0267357	-0.5794487	-0.71126246	-0.30176547	-1.9630647	-0.063866645	0.7534666	-0.3919828	1.1554234	0.5773012	0.5979165
3	-0.72472906	0.8125661	0.64385855	0.24927801	1.3870304	-1.4161806	-0.64108783	0.8041931	-0.022845766	0.48870236	-0.5105551	-1.142921	0.9837357	-0.69565105	0.7082575	0.20189184	-0.42752236	-0.85685146	0.8980965	-0.050813958	-0.23200054	-0.02845629	0.09138991	-0.29664916	-0.59288526	-0.587955	0.15099625	-0.35964403	0.65819216	-0.035915907	0.04444434	-0.07003189	-0.36903915	-0.4590689	0.10996101	-0.19875887	0.60816205	-0.00032086484	-0.67047304	0.17375803	0.4030727	-0.029663974	0.9015349	0.7096163	0.9682838	0.065619245	0.39465454	-0.21662493	-1.1732079	-0.6127768	0.793549	-0.12457449	-0.858199	0.00080106966	-0.39194015	-0.62732375	-0.06808368	0.67425984	-0.5270041	-0.2318007	0.34981918	-0.17536092	0.09142379	-0.5433966	-1.0549885	-0.5948385	-0.74234915	-0.33981636	-2.0330057	-0.082216434	0.7777987	-0.40608886	1.1774256	0.5833745	0.6534471
4	-0.6329148	0.71324354	0.5649393	0.2174618	1.2292541	-1.2231159	-0.5665981	0.70778215	-0.016478509	0.44035542	-0.43992007	-1.0041708	0.86413026	-0.6327846	0.62434125	0.16648795	-0.37618318	-0.75007933	0.7762475	-0.038813595	-0.20806026	-0.0070627155	0.066892855	-0.24806748	-0.52803946	-0.51226574	0.12646773	-0.30439258	0.58685136	-0.038878623	0.051768776	-0.042138048	-0.32485634	-0.41562134	0.080314495	-0.19570704	0.53483343	-0.0002967799	-0.5855319	0.16890092	0.33006126	-0.014185561	0.7988149	0.62867033	0.84076	0.058844436	0.32769167	-0.2023555	-1.0232885	-0.55201906	0.7213284	-0.10957133	-0.75954014	-0.021128593	-0.32459328	-0.5495787	-0.0475182	0.5781181	-0.464316	-0.19865051	0.31490457	-0.14784457	0.066083476	-0.48634577	-0.93471396	-0.5079679	-0.66056466	-0.2813603	-1.7828697	-0.05779858	0.6811572	-0.35113955	1.0312068	0.52555394	0.5473085
5	-0.7018918	0.79001486	0.613158	0.21561864	1.3551428	-1.324779	-0.6126167	0.7696938	0.02710813	0.49485263	-0.4662692	-1.1154709	0.89762706	-0.68312436	0.676806	0.17997612	-0.42048684	-0.8215774	0.8569983	-0.027870346	-0.18765582	-0.007190942	0.09675635	-0.27330744	-0.58561677	-0.5291933	0.17692702	-0.32894605	0.64024526	-0.0436478	0.07585183	-0.04949819	-0.36450183	-0.47280222	0.09320348	-0.20202617	0.5707318	-0.024756292	-0.6359373	0.18890005	0.3869934	-0.02161452	0.88327	0.7132118	0.91132766	0.05625597	0.37750494	-0.2089692	-1.1043917	-0.6116153	0.7633598	-0.14052431	-0.8172127	-0.004681034	-0.38209012	-0.5778075	-0.07781967	0.62875885	-0.4955831	-0.20958304	0.34227583	-0.13000262	0.07589983	-0.4975495	-1.0361159	-0.57478064	-0.6998402	-0.28839773	-1.9277772	-0.044052526	0.72868913	-0.36841062	1.1462606	0.54343235	0.58262455
6	-0.7619466	0.84068197	0.6903996	0.2558472	1.4441049	-1.4776284	-0.676462	0.8518121	-0.009915308	0.5148699	-0.54559344	-1.195608	1.0223026	-0.7215491	0.74302614	0.21165816	-0.4333404	-0.89965636	0.94597447	-0.051999774	-0.22700304	-0.025588863	0.09202393	-0.32897958	-0.6152086	-0.6013118	0.15903232	-0.3659534	0.6803661	-0.035040673	0.054131456	-0.070263796	-0.38244954	-0.4681406	0.101479426	-0.21101427	0.63381875	-0.004748414	-0.6847655	0.18374005	0.41915888	-0.023573263	0.9423696	0.7547957	1.0131326	0.08100644	0.41836786	-0.23488475	-1.2056518	-0.6457041	0.82733244	-0.14800067	-0.8924043	0.014183126	-0.41646218	-0.65470135	-0.07537529	0.69970673	-0.56019425	-0.24330688	0.37366453	-0.17514504	0.0876118	-0.5558007	-1.1063493	-0.62086195	-0.77021945	-0.35046962	-2.1169314	-0.099360116	0.8121189	-0.43340996	1.2533557	0.6099404	0.6712033
7	-0.71637005	0.78150916	0.61659837	0.2407366	1.3506182	-1.3655888	-0.6657649	0.8177384	-0.020984855	0.47430664	-0.49857786	-1.0893242	0.9827314	-0.65380526	0.6584505	0.23104802	-0.40171626	-0.8113874	0.90582925	-0.048765846	-0.2636566	-0.014250907	0.077142686	-0.31464976	-0.5614281	-0.6308098	0.099478655	-0.33458218	0.68031347	-0.01836227	0.047387846	-0.0583787	-0.37278152	-0.41088027	0.08382595	-0.18586576	0.5770356	0.02522097	-0.63124377	0.22181652	0.35008565	-0.03479909	0.8699491	0.6889412	0.9458189	0.06106126	0.42995647	-0.22107176	-1.1828943	-0.56392854	0.7641662	-0.08650639	-0.8522641	-0.024736777	-0.41518232	-0.62499905	-0.06536087	0.64774853	-0.55380034	-0.2732648	0.36315098	-0.1346025	0.102652125	-0.5747694	-1.0245377	-0.58829117	-0.74165964	-0.30547562	-1.9619846	-0.13891198	0.80226785	-0.4144631	1.1239097	0.54950947	0.6092726
8	-0.739537	0.7916936	0.65033615	0.24993357	1.3946587	-1.4191861	-0.651027	0.82075727	-0.02561469	0.49072748	-0.5255247	-1.1309282	1.0003315	-0.7008238	0.70673066	0.22120965	-0.42424202	-0.8556907	0.9178263	-0.04664749	-0.24726376	-0.023593485	0.078308366	-0.3088232	-0.5908964	-0.60523236	0.13793664	-0.34458423	0.659328	-0.021237519	0.04903855	-0.068297185	-0.3768723	-0.45351338	0.106749445	-0.20225407	0.6130093	-0.0028792205	-0.66082555	0.18178917	0.37509057	-0.013839176	0.9042496	0.7164088	0.9785221	0.080477595	0.4061055	-0.23271392	-1.177964	-0.6096331	0.79591954	-0.13081811	-0.8696038	0.006363043	-0.39879298	-0.62875354	-0.07028671	0.67692506	-0.5477295	-0.24968937	0.35207233	-0.17352659	0.07586472	-0.5568718	-1.0522087	-0.5895777	-0.7499863	-0.33203742	-2.0522327	-0.10090191	0.7929497	-0.4250387	1.1939255	0.58921784	0.6530423
9	-0.7154213	0.7951117	0.65496135	0.23768303	1.4151624	-1.3933041	-0.6217527	0.8379705	-0.013014439	0.51279193	-0.50866586	-1.1385969	0.99545914	-0.7400821	0.72269446	0.20877692	-0.41961265	-0.8479283	0.8969663	-0.028623901	-0.23481157	-0.020067189	0.09502985	-0.30269116	-0.5827766	-0.5742832	0.14167553	-0.35313463	0.6526479	-0.020657621	0.074735664	-0.055229053	-0.39202318	-0.49110672	0.08473811	-0.22016707	0.6093392	0.018874843	-0.6522249	0.1790511	0.38937476	-0.000597639	0.9302332	0.7422169	0.971956	0.076326534	0.37285715	-0.21554288	-1.1475704	-0.6454868	0.82600397	-0.15062279	-0.8747762	-0.0067056282	-0.38753656	-0.6037711	-0.06869613	0.67976934	-0.5423186	-0.23953362	0.37740326	-0.18867283	0.07196537	-0.53449017	-1.0719776	-0.6101288	-0.74395573	-0.31451085	-2.041319	-0.07266024	0.78059834	-0.41608346	1.2152703	0.600996	0.62440795
