	0
0	0.9874574
1	0.973735
2	0.98409355
3	0.9933879
4	0.9556714
5	0.8002475
6	0.93070924
7	0.98273003
8	0.9755149
9	0.9384219
10	0.98395336
11	0.53152734
12	0.6941213
13	0.96491164
14	0.97329044
15	0.95049816
16	0.9795518
17	0.96507657
18	0.9671887
19	0.9855163
20	0.98004544
21	0.968503
22	0.9388391
23	0.9792297
24	0.7426996
25	0.95655394
26	0.966066
27	0.10358101
28	0.076639205
29	0.14067003
30	0.09499553
31	0.09411579
32	0.15350801
33	0.18000212
34	0.08922726
35	0.10014981
36	0.10973981
37	0.08059481
38	0.70171225
39	0.07607561
40	0.10068813
