	0
0	0.8694861
1	0.8511783
2	0.87763923
3	0.9042569
4	0.83346105
5	0.72844756
6	0.82473505
7	0.8422196
8	0.8595206
9	0.8273799
10	0.8730725
11	0.65610737
12	0.6774782
13	0.8387245
14	0.8680361
15	0.8082339
16	0.8770834
17	0.80663705
18	0.84209776
19	0.8808755
20	0.84654874
21	0.8615087
22	0.83049893
23	0.8529226
24	0.7044728
25	0.8357142
26	0.8153322
27	0.42648315
28	0.40095854
29	0.48828512
30	0.40515095
31	0.37475073
32	0.43428367
33	0.4148355
34	0.35439438
35	0.42592645
36	0.45557886
37	0.38284588
38	0.7040437
39	0.3429802
40	0.39161986
