	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	-1.6556045	0.8075312	-0.86578745	-1.2136468	0.13856643	-1.0660242	-2.0292356	-1.1908944	0.9149388	-1.6090373	0.33880886	1.014873	-1.257596	-1.0939039	-0.22737134	-1.830284	-1.1598221	-0.790563	2.6214893	-0.08366372	-1.4836562	1.4194922	0.4636908	-0.2950787	0.93528783	0.3535095	0.34150377	-1.0841109	-0.6933909	-2.3625777	-0.13118508	1.0412338	-0.7040554	1.8491261	1.6499662	-0.9756096	0.40296003	1.3489869	1.2186099	-0.08235215	-1.3567184	0.0005229872	-1.0379103	-0.3842716	-1.9341283	-0.08601088	0.24776669	-1.8561769	0.57205564	-2.0691555	-1.5826514
1	-1.62494	0.78395396	-0.86824566	-1.1701502	0.16324586	-1.0401009	-1.9460846	-1.1302905	0.84582734	-1.5526291	0.30433735	0.9963081	-1.1996032	-1.0394833	-0.2513324	-1.7800622	-1.136314	-0.739935	2.5551827	-0.0954373	-1.4650072	1.3796443	0.43921635	-0.2456469	0.91348016	0.33071846	0.32522038	-1.064383	-0.65583545	-2.2751012	-0.11165217	1.0314705	-0.69048667	1.7888414	1.5926319	-0.9273443	0.35085136	1.3313144	1.166724	-0.0736124	-1.2913499	0.022095008	-0.9882543	-0.4142866	-1.8518605	-0.0588684	0.20526092	-1.8315524	0.55521625	-1.9591767	-1.5098608
2	-1.7126982	0.8182165	-0.8828181	-1.2204694	0.15723209	-1.0838748	-2.0348437	-1.1780338	0.9165652	-1.618823	0.3107944	1.0062159	-1.2441071	-1.0826912	-0.24510548	-1.8680516	-1.1824372	-0.7753148	2.6520226	-0.10597571	-1.5089871	1.4086766	0.47161517	-0.27612212	0.9190799	0.35286036	0.3625204	-1.0757957	-0.6723345	-2.3511384	-0.13881034	1.0838141	-0.7067341	1.8946055	1.6421012	-0.97620577	0.4014059	1.355269	1.2096485	-0.059622813	-1.3196124	0.028724654	-1.0240834	-0.42253754	-1.9675211	-0.09988943	0.24818377	-1.8645992	0.5784209	-2.0968335	-1.6226108
3	-1.7713634	0.7953723	-0.9510605	-1.2508088	0.17600405	-1.1394719	-2.0874565	-1.200128	0.8751738	-1.6204208	0.33934712	1.0640287	-1.2571253	-1.1418923	-0.27139503	-1.8847177	-1.2117248	-0.7896514	2.741235	-0.09040675	-1.5306988	1.4729081	0.48455563	-0.2829396	0.9873067	0.34921682	0.34151393	-1.1189247	-0.70148015	-2.438503	-0.09070282	1.0562927	-0.73170835	1.920593	1.6789625	-0.96671295	0.36791325	1.4301705	1.2697703	-0.09626707	-1.4221269	0.013445126	-1.0638456	-0.4271553	-1.9531074	-0.055813067	0.229231	-1.9482652	0.56698376	-2.0896418	-1.633535
4	-1.5405521	0.7400022	-0.8016414	-1.0859787	0.15613684	-0.97605556	-1.8259248	-1.0613134	0.787971	-1.443952	0.28540966	0.9052269	-1.1322333	-0.9768681	-0.20818524	-1.6706364	-1.0617558	-0.7063805	2.4036098	-0.09741047	-1.3866047	1.2819393	0.43063754	-0.24693945	0.8423365	0.30246538	0.32065427	-0.99568367	-0.6224036	-2.1298544	-0.11686638	0.9731983	-0.63185084	1.6978464	1.4876571	-0.8757031	0.34706095	1.2286674	1.0911814	-0.070003465	-1.1920673	0.015945084	-0.92040884	-0.39318568	-1.7509834	-0.05967239	0.18312643	-1.7033316	0.5124875	-1.8627107	-1.4263294
5	-1.7293986	0.7652635	-0.9206836	-1.1877642	0.16417028	-1.1172419	-2.0180101	-1.1792442	0.88000333	-1.5741594	0.35063854	1.000174	-1.198395	-1.107599	-0.26497185	-1.8416991	-1.1753083	-0.75914896	2.7003984	-0.083912484	-1.5290133	1.4037864	0.47351444	-0.28182	0.90212965	0.3570027	0.3596565	-1.104019	-0.6870608	-2.3433259	-0.08821642	1.0475624	-0.7214745	1.8872803	1.6163875	-0.96359646	0.3845477	1.3782605	1.1892186	-0.06255016	-1.356843	0.025245199	-1.0277164	-0.42867416	-1.9133326	-0.07029371	0.22559123	-1.8623848	0.5481394	-2.074546	-1.5984044
6	-1.8231064	0.8383502	-0.9717085	-1.2810731	0.17914242	-1.2135928	-2.179587	-1.2351079	0.87663263	-1.6872575	0.36201563	1.0988367	-1.3289937	-1.1884625	-0.27299237	-1.9533089	-1.2587916	-0.8334159	2.8276684	-0.12267323	-1.5867047	1.5304501	0.49621147	-0.29454717	1.0411346	0.36939174	0.3549355	-1.1414711	-0.7456238	-2.5229857	-0.10938288	1.0938675	-0.7452284	2.0291095	1.743863	-1.0126133	0.3911431	1.455541	1.3382772	-0.092179455	-1.4574982	0.021351056	-1.1172304	-0.43221608	-2.0184627	-0.05528792	0.22173277	-2.01597	0.60180354	-2.1679962	-1.7004839
7	-1.642653	0.7763549	-0.8142335	-1.2328802	0.14906894	-1.0105869	-1.8454547	-1.0978793	0.9291912	-1.5532631	0.26617664	1.0060769	-1.1423787	-0.982942	-0.29456317	-1.7575771	-1.1835378	-0.6896439	2.494958	-0.091348514	-1.420965	1.3007472	0.43179744	-0.24739075	0.8453752	0.31483665	0.3283139	-1.0222085	-0.58342606	-2.1581848	-0.09443164	1.0312806	-0.6857296	1.758216	1.5401324	-0.87834877	0.3782169	1.2669142	1.0945866	-0.08297428	-1.2478328	0.06461972	-0.9796735	-0.3580959	-1.8179961	-0.096842945	0.2516266	-1.7616097	0.5731766	-1.885261	-1.5273649
8	-1.7663311	0.80773234	-0.924009	-1.2642668	0.1540435	-1.1201572	-2.0702047	-1.2066276	0.8996014	-1.6305323	0.33657083	1.0409484	-1.2511395	-1.1324205	-0.2925974	-1.8727565	-1.2127202	-0.780525	2.714079	-0.089136906	-1.5393144	1.453949	0.47405207	-0.27382383	0.9602355	0.3585442	0.3393986	-1.1231234	-0.68587786	-2.4227462	-0.0852788	1.056111	-0.7259466	1.8941668	1.6653117	-0.98613584	0.3732124	1.3897167	1.2443403	-0.10746942	-1.4395827	0.007658217	-1.0733527	-0.42201412	-1.9302559	-0.0688029	0.25045368	-1.9454031	0.5763797	-2.0507479	-1.6053097
9	-1.7687486	0.8126016	-0.9230527	-1.2440563	0.14699441	-1.140994	-2.0656064	-1.2087121	0.8999171	-1.6430055	0.35590985	1.010573	-1.2534369	-1.1632321	-0.2715891	-1.8896807	-1.230733	-0.7775549	2.7524498	-0.1048325	-1.574053	1.4399137	0.50984883	-0.2967776	0.9416607	0.3753796	0.3608497	-1.1322316	-0.7183647	-2.4070013	-0.118762895	1.082072	-0.7175327	1.9501162	1.6667986	-0.9805498	0.42256576	1.3685708	1.2271174	-0.08075931	-1.3970444	0.027774904	-1.1042892	-0.39658594	-1.9723052	-0.08987667	0.24644062	-1.9006084	0.56006867	-2.1212387	-1.6606994
