	0
0	0.7375602
1	0.7378668
2	0.74239177
3	0.7589729
4	0.72937787
5	0.7145619
6	0.7306479
7	0.7504488
8	0.7333812
9	0.728184
10	0.7418603
11	0.7124113
12	0.7084692
13	0.7294822
14	0.74269915
15	0.7287174
16	0.7364373
17	0.7267041
18	0.7326529
19	0.7416918
20	0.73839074
21	0.73555195
22	0.73415416
23	0.7406304
24	0.7161931
25	0.7389982
26	0.7372565
27	0.67263156
28	0.6832227
29	0.69065887
30	0.67966807
31	0.68058056
32	0.68774164
33	0.6824089
34	0.6705656
35	0.6708736
36	0.69155097
37	0.67850745
38	0.7056286
39	0.6801857
40	0.6849946
