	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	-0.35567728	-0.31621355	-0.13685647	-1.5490263	0.42803508	0.30058917	0.6344731	1.1180807	2.4185383	1.6398574	-0.10268527	0.96999174	-0.2430278	0.06930796	-1.103664	-1.2244089	0.95691127	0.48916417	0.8514215	2.288804	-1.2619454	-0.31191573	-0.4091248	-0.76929206	-0.8234782	1.1396799	-0.9409443	-0.08412179	-1.455349	0.7033861	-1.7905003	0.64444345	-0.318652	-0.21445845	-0.48265272	0.300422	-0.6859057	-0.99599385	1.6315832	-1.0296246	1.3836068	-0.4584952	-0.11909482	0.4824588	0.5043679	-0.52240914	-1.557207	-0.80029935
1	-0.35031477	-0.30625328	-0.14573412	-1.5128723	0.40923867	0.2749102	0.6194092	1.0819663	2.3305416	1.5414215	-0.119433336	0.92296225	-0.26781994	0.060624205	-1.0588603	-1.1765771	0.9238352	0.4757366	0.81640136	2.1928358	-1.2360852	-0.2906028	-0.39597842	-0.7235741	-0.78647226	1.103856	-0.91720474	-0.06326314	-1.4108974	0.6635824	-1.721983	0.6345257	-0.31924585	-0.20105179	-0.44603378	0.27470508	-0.6789943	-0.9774871	1.5734451	-0.98960215	1.3374484	-0.4421706	-0.11575179	0.46801317	0.4798532	-0.50633466	-1.4840415	-0.7917155
2	-0.33797085	-0.30617425	-0.14585741	-1.5589597	0.41891292	0.31319857	0.63258624	1.1072624	2.4238467	1.6511724	-0.11783969	0.99118406	-0.24089037	0.07752855	-1.0834075	-1.2262355	0.9797026	0.50406516	0.8686655	2.3086863	-1.279321	-0.30492064	-0.4060257	-0.77533203	-0.8308373	1.1481427	-0.94316065	-0.06709685	-1.4619389	0.7178594	-1.7763608	0.6337607	-0.3169844	-0.2072269	-0.4825653	0.30895567	-0.69094425	-1.009721	1.6694375	-1.0260358	1.3844266	-0.4473438	-0.12321314	0.4889919	0.48378453	-0.5248106	-1.5826379	-0.8145694
3	-0.35455227	-0.28487334	-0.17839338	-1.6206965	0.41360068	0.30335343	0.65378505	1.149059	2.4899833	1.6538835	-0.1274287	0.99927974	-0.29751447	0.05859187	-1.1242216	-1.266541	0.9821547	0.5348297	0.8751642	2.3366148	-1.2966286	-0.31324092	-0.4228096	-0.75739247	-0.8569992	1.1647484	-0.9635698	-0.07039794	-1.4910892	0.72936565	-1.8248341	0.65967476	-0.34851822	-0.20649885	-0.5070834	0.28419262	-0.72531074	-1.0278219	1.6765603	-1.0598421	1.4212357	-0.45980662	-0.1363579	0.49331763	0.50970197	-0.5672371	-1.631508	-0.82859886
4	-0.33679733	-0.29521644	-0.13167894	-1.4111717	0.3803277	0.25677684	0.58428526	1.0104871	2.2037	1.4696263	-0.09208511	0.8725445	-0.25149837	0.036247835	-0.9948778	-1.1057827	0.8773957	0.44834596	0.7839272	2.079702	-1.1435528	-0.2740629	-0.37078395	-0.6794831	-0.7476575	1.0442753	-0.8600388	-0.074136525	-1.3261161	0.6240796	-1.6339456	0.5746994	-0.29460424	-0.19317263	-0.44034618	0.2527233	-0.63670164	-0.91670185	1.4822156	-0.927526	1.2641765	-0.42161143	-0.09876856	0.45655122	0.45651078	-0.48795676	-1.4206156	-0.7382567
5	-0.37362137	-0.30797407	-0.15944839	-1.5405092	0.40171418	0.26641273	0.64026797	1.0911201	2.3600416	1.5964698	-0.11306879	0.9397121	-0.27722424	0.05103678	-1.0799584	-1.220609	0.9226385	0.49673122	0.86179215	2.2445834	-1.2435881	-0.30007526	-0.3953617	-0.7208229	-0.82804793	1.144024	-0.94041485	-0.06549992	-1.428157	0.693269	-1.7240018	0.6277232	-0.3462458	-0.21333568	-0.49207073	0.3050441	-0.7331343	-0.9780433	1.5952927	-1.0417066	1.3765947	-0.43189108	-0.10972658	0.47791332	0.47399583	-0.5648847	-1.5890113	-0.78733563
6	-0.38798448	-0.33715603	-0.20382737	-1.7064096	0.45021024	0.31271654	0.7036431	1.1889913	2.612563	1.705617	-0.11590454	1.0045763	-0.30816275	0.0603177	-1.1561289	-1.3043618	1.0487846	0.52922666	0.9085506	2.4496727	-1.3690214	-0.33761564	-0.4441299	-0.7941398	-0.87448657	1.1910341	-1.0025324	-0.07659872	-1.5837739	0.71242934	-1.906815	0.67536414	-0.36920246	-0.23191792	-0.5192437	0.2925577	-0.76605654	-1.087479	1.7283741	-1.100929	1.4698902	-0.51213914	-0.14399381	0.49968755	0.5502959	-0.57586825	-1.686113	-0.90486807
7	-0.33839723	-0.32481715	-0.15427172	-1.450716	0.40120363	0.278643	0.60597616	1.0741674	2.3144279	1.5730556	-0.101949744	0.89123595	-0.24663351	0.02083643	-1.0388275	-1.1879039	0.84826237	0.5087443	0.81801105	2.1713965	-1.1576996	-0.27731237	-0.39344552	-0.7278064	-0.7903731	1.0663176	-0.9137151	-0.05817305	-1.3353267	0.6405437	-1.7424574	0.59773463	-0.3353201	-0.2431032	-0.4668695	0.2337195	-0.65079933	-0.9597099	1.5444392	-1.0250629	1.3327764	-0.41207093	-0.07414388	0.5206725	0.4681943	-0.5333475	-1.4766338	-0.76131415
8	-0.35885063	-0.30085224	-0.1856871	-1.6374586	0.41490334	0.29573345	0.6677033	1.1340573	2.500382	1.6498966	-0.14270473	0.97053236	-0.3067813	0.06610732	-1.1006435	-1.2530042	0.98740864	0.519735	0.87456006	2.3447506	-1.3211901	-0.334815	-0.4140268	-0.7688862	-0.85774416	1.1328483	-0.9582143	-0.071214095	-1.4990561	0.72362065	-1.822885	0.6634773	-0.3700459	-0.20407574	-0.50115263	0.29189655	-0.7334001	-1.0395852	1.6758618	-1.0637313	1.419675	-0.47414583	-0.12670353	0.48462158	0.5022206	-0.5661547	-1.6274378	-0.84955585
9	-0.35505036	-0.29776374	-0.16360176	-1.6351655	0.43443537	0.31138378	0.6681229	1.1434885	2.5114667	1.6891088	-0.13536307	0.99596983	-0.27271035	0.09257524	-1.1258552	-1.2509663	1.0184155	0.49943736	0.8822119	2.3550842	-1.3324559	-0.3483394	-0.39642438	-0.7662773	-0.84651244	1.1546986	-0.96982133	-0.07534619	-1.5175407	0.74073374	-1.8374838	0.67590594	-0.34880722	-0.19416034	-0.5175842	0.332304	-0.71215	-1.0247362	1.6981797	-1.0425159	1.4051852	-0.49073002	-0.14651042	0.46965787	0.5083252	-0.54867375	-1.6315476	-0.84573317
