	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	0.78627324	-3.779017	3.9043548	4.5854473	1.4001862	0.1420106	4.8638797	-6.801946	2.9139502	-1.2568104	1.013544	0.90140927	2.0460112	1.6203535	-2.167504
1	0.77557385	-3.657599	3.74246	4.447563	1.3327845	0.12235908	4.719716	-6.5914483	2.8165793	-1.200692	0.9571614	0.8694246	1.9919078	1.5987682	-2.11424
2	0.78998804	-3.83024	3.8888092	4.6279984	1.3834659	0.11512992	4.892074	-6.841436	2.9508986	-1.2698772	1.0279152	0.89205724	2.083317	1.6616149	-2.1364882
3	0.8341541	-3.8992102	3.982193	4.7575006	1.4118371	0.12613943	5.012009	-6.9995465	3.005835	-1.2829134	1.038439	0.91585386	2.1356394	1.6978703	-2.2385705
4	0.7508163	-3.443613	3.5172906	4.182042	1.2577012	0.12924789	4.406406	-6.1627107	2.662756	-1.1627748	0.92516524	0.8161779	1.8872468	1.5075707	-1.9769553
5	0.8088403	-3.8113577	3.8462718	4.6158323	1.3463637	0.12587221	4.851136	-6.8060265	2.9236689	-1.2528057	0.9936112	0.8827	2.0636368	1.653564	-2.1451387
6	0.8795432	-4.0354247	4.1558523	4.9427714	1.492872	0.13910535	5.2076964	-7.263191	3.1269023	-1.3464992	1.0937498	0.96245784	2.2323349	1.7624235	-2.3482175
7	0.7489106	-3.5830216	3.6516554	4.403701	1.3204228	0.081363395	4.65309	-6.4881296	2.7764533	-1.1380112	0.93544054	0.86993086	1.9805413	1.6062213	-2.0576537
8	0.8289397	-3.8929865	4.0018764	4.7067895	1.446892	0.15001242	5.0178447	-7.0234194	3.009626	-1.3088973	1.0243684	0.94379586	2.119083	1.7073103	-2.2520812
9	0.8522271	-3.9814029	4.0636854	4.8530765	1.4495862	0.12041108	5.142038	-7.153635	3.0796502	-1.3131235	1.0686718	0.9397006	2.1943295	1.7673659	-2.2957017
10	0.8377887	-3.8506148	3.9129436	4.7164564	1.3924482	0.115812205	4.9588485	-6.928158	2.975297	-1.2559345	1.0103359	0.91557145	2.1243095	1.7085655	-2.222816
11	0.7758907	-3.527985	3.5968308	4.310033	1.2806076	0.11778821	4.5471687	-6.3437448	2.7254226	-1.1675761	0.9309186	0.8375475	1.9446359	1.5619211	-2.0549557
12	0.806316	-3.8257504	3.8564148	4.6374826	1.35127	0.10890457	4.8989177	-6.8713717	2.9251275	-1.2411207	0.9701008	0.8884477	2.0751774	1.6534103	-2.1714244
13	0.80101997	-3.6406703	3.722228	4.450187	1.3346065	0.12694885	4.6932435	-6.5619197	2.8160717	-1.2069532	0.9559991	0.87574995	2.006236	1.6091266	-2.1236215
14	0.74041426	-3.4095027	3.4764917	4.1324563	1.249117	0.13356762	4.3218083	-6.061107	2.64494	-1.1679677	0.93931586	0.8061385	1.8689756	1.4859715	-1.91518
15	0.77328026	-3.7705467	3.838982	4.549276	1.3993608	0.11282479	4.8458314	-6.8094845	2.911342	-1.2451968	0.9700548	0.91880214	2.0510573	1.6505264	-2.1242821
16	0.80682904	-3.767838	3.8552282	4.5994263	1.3832585	0.12203422	4.8434997	-6.7793984	2.9107306	-1.2456424	0.9994169	0.89900285	2.0697563	1.6386764	-2.1622121
17	0.85461885	-3.9596717	3.9943073	4.832414	1.4397879	0.10290267	5.072886	-7.1120253	3.0673409	-1.3034809	1.0370903	0.9475711	2.197912	1.761444	-2.2402396
18	0.82602	-3.9288642	4.044589	4.759883	1.4230684	0.1462902	5.0712852	-7.0707946	3.0114813	-1.2989234	1.037637	0.9160772	2.1200538	1.6820574	-2.282241
19	0.7851587	-3.547335	3.6175337	4.318294	1.2759368	0.15087445	4.4934263	-6.2897334	2.746867	-1.2058597	0.98242784	0.826089	1.9386843	1.5504134	-2.012653
20	0.7932942	-3.6674333	3.735478	4.4478793	1.31777	0.13210969	4.6841063	-6.5604115	2.8175466	-1.2297379	0.97075987	0.8523152	1.9988554	1.5735843	-2.0989394
21	0.7663968	-3.6230345	3.6661253	4.4034286	1.3028032	0.105192296	4.643763	-6.5181575	2.7828155	-1.1804681	0.9265517	0.85731906	1.9751216	1.5748253	-2.0585392
22	0.80588466	-3.7779257	3.8732858	4.6253324	1.423776	0.11243512	4.8640122	-6.814573	2.9428914	-1.2537277	1.0148369	0.92766327	2.0986075	1.6699568	-2.1533422
