	0
0	0.9510761
1	0.9516432
2	0.96463895
3	0.9731906
4	0.92594063
5	0.7473084
6	0.88733864
7	0.95746946
8	0.94955546
9	0.9230249
10	0.96538854
11	0.63495827
12	0.6660641
13	0.9288564
14	0.9566637
15	0.89338815
16	0.95714045
17	0.9035344
18	0.93603885
19	0.95977235
20	0.9552672
21	0.94516706
22	0.9216663
23	0.93949574
24	0.7475928
25	0.9534699
26	0.91702056
27	0.20306623
28	0.14638847
29	0.26748055
30	0.15258414
31	0.12911603
32	0.22900906
33	0.1944012
34	0.15340334
35	0.13309407
36	0.27846348
37	0.14679748
38	0.68480307
39	0.1248388
40	0.16820675
