	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	-1.7961682	-0.5658036	-0.84940016	-0.24844852	-0.566508	-0.036013186	1.5121088	-1.8830109	-2.0392659	-0.20061366	2.309057	0.791355	0.8417215	-0.1714799	0.626836	0.9624841	0.04121098	1.4100552	-0.25660652	-0.92623496	-0.49807397	1.005832	-1.6208702	1.3940344	1.4537818	0.91554254	-2.635186	-0.72227997	-0.91780686	-1.6766949
1	-1.708671	-0.52790606	-0.8222788	-0.2403282	-0.57759446	-0.020266706	1.4304193	-1.8097548	-1.9335766	-0.18573695	2.1912408	0.7632097	0.78354794	-0.18161462	0.6004171	0.9344643	0.030503737	1.3492683	-0.2575081	-0.88370407	-0.5174373	0.91740626	-1.5449047	1.3154024	1.4096285	0.9140977	-2.5209682	-0.6767887	-0.8340099	-1.6058356
2	-1.8015119	-0.54183286	-0.86701375	-0.26224637	-0.5506546	-0.023483824	1.5203294	-1.8702881	-2.0108244	-0.21961439	2.3154411	0.76039636	0.82970244	-0.16750233	0.6262696	0.9621592	0.044570558	1.4358233	-0.2570587	-0.93258077	-0.5357775	1.0053124	-1.6276382	1.4027885	1.478529	0.9389337	-2.6664016	-0.7169405	-0.9183037	-1.6995766
3	-1.8048449	-0.55684793	-0.87695354	-0.2534801	-0.5989594	-0.011303753	1.5357306	-1.9130738	-2.0340133	-0.21136211	2.3321092	0.7872271	0.8249479	-0.18787524	0.6271762	0.98281807	0.03580135	1.4521396	-0.27142864	-0.9474273	-0.5591637	0.98382217	-1.6317474	1.4147985	1.4928709	0.9615569	-2.6895537	-0.72520256	-0.89714587	-1.7218192
4	-1.6087487	-0.4967006	-0.7767927	-0.21822758	-0.5293907	-0.026851818	1.3521025	-1.6757027	-1.8171539	-0.19661538	2.0615854	0.7019658	0.7351116	-0.14784744	0.5671815	0.87266004	0.0374171	1.2670466	-0.24551077	-0.8364562	-0.48096687	0.86261266	-1.4415514	1.2505078	1.3181863	0.8481052	-2.3629513	-0.6255693	-0.8058542	-1.5222739
5	-1.741143	-0.55096	-0.866435	-0.26825973	-0.57110834	-0.0053014243	1.508184	-1.8601352	-1.9464033	-0.21272056	2.2497513	0.74119216	0.7857631	-0.20577665	0.6155011	0.9427109	0.0384932	1.4239608	-0.26995757	-0.91112196	-0.56490374	0.94459516	-1.594492	1.3800802	1.4399638	0.9276881	-2.6095338	-0.69497854	-0.8816648	-1.6886336
6	-1.8882524	-0.5702853	-0.90487707	-0.24463521	-0.64343864	-0.032340042	1.6084135	-1.987835	-2.1571286	-0.21572752	2.4611769	0.8509443	0.8655852	-0.18019874	0.65876997	1.0336081	0.04319612	1.5123165	-0.27797368	-1.01166	-0.55180806	1.0225464	-1.7130344	1.4606512	1.5590172	0.99866945	-2.8036025	-0.75154245	-0.93099385	-1.7721732
7	-1.7135634	-0.50959796	-0.8089153	-0.23459694	-0.54276156	-0.03378556	1.4020108	-1.7597766	-1.9106598	-0.24341665	2.1600952	0.7073608	0.7981486	-0.15870704	0.58857715	0.9064899	0.029023478	1.3296317	-0.2586128	-0.8878063	-0.4796638	0.94907516	-1.4927315	1.327918	1.3771018	0.8903446	-2.4917922	-0.69858515	-0.86614	-1.5591807
8	-1.7821541	-0.5532257	-0.87758744	-0.25324377	-0.6173331	-0.023078501	1.5380952	-1.9071506	-2.0387976	-0.21048294	2.3399806	0.7980676	0.8142864	-0.19076985	0.62996674	0.98863316	0.043799713	1.449517	-0.2825817	-0.94943434	-0.5584117	0.94884276	-1.6373097	1.3957485	1.4712615	0.9658976	-2.6639013	-0.71854085	-0.8887537	-1.7063233
9	-1.8142228	-0.5344323	-0.9074564	-0.28051564	-0.5840075	0.0095976805	1.6017113	-1.9314371	-2.006565	-0.24178657	2.387315	0.75961953	0.8192449	-0.20764002	0.64982927	0.9782259	0.053527325	1.5165538	-0.25874597	-0.96002233	-0.5863058	0.98305213	-1.6699289	1.4338624	1.503266	0.9561054	-2.7272453	-0.72795933	-0.9292209	-1.7342328
