	0
0	0.86194444
1	0.85755074
2	0.87256944
3	0.9132406
4	0.8391804
5	0.75481915
6	0.79792434
7	0.8825972
8	0.85387707
9	0.8028865
10	0.8713318
11	0.643446
12	0.6731173
13	0.83476746
14	0.8566128
15	0.80494505
16	0.8470887
17	0.7930206
18	0.8477541
19	0.8716656
20	0.84923685
21	0.84502923
22	0.8063576
23	0.8689915
24	0.71863663
25	0.813089
26	0.84096277
27	0.41756403
28	0.46722138
29	0.49126962
30	0.46092606
31	0.43365514
32	0.4849383
33	0.45788568
34	0.38829595
35	0.42867836
36	0.4823887
37	0.40865445
38	0.6819752
39	0.44067731
40	0.45024362
