	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	-2.7134032	-1.0691832	-0.3160888	1.8524141	-0.7034851	2.7558	-0.27679187	2.162362	-0.9699875	0.023523174	-1.0755444	-1.572671	3.1047263	-2.6592233	0.8194199	-0.2831278	0.32482398	-0.69865054	0.7356728	1.9369047
1	-2.6469567	-1.0646472	-0.24382187	1.8183185	-0.6947811	2.6195412	-0.28597987	2.1175683	-0.96393204	0.047985867	-1.0229883	-1.5760041	2.999862	-2.532111	0.8269801	-0.30229387	0.34455	-0.6339126	0.72545797	1.902171
2	-2.7672436	-1.095916	-0.3163872	1.876652	-0.7017093	2.7686925	-0.29547316	2.2281795	-1.0081459	0.076155566	-1.0673248	-1.6017509	3.1208334	-2.6437516	0.8716761	-0.27980506	0.36374468	-0.7071075	0.728358	1.9994068
3	-2.8493528	-1.1261789	-0.30187204	1.953983	-0.7012845	2.809578	-0.29270616	2.2767997	-1.0495422	0.07228368	-1.1086577	-1.6919361	3.1646047	-2.7161446	0.93530416	-0.29201937	0.37724364	-0.68620414	0.7470698	2.0620282
4	-2.4854212	-0.9690002	-0.26334822	1.6825663	-0.67531055	2.4958138	-0.26136518	2.0045788	-0.872713	0.024348471	-0.9258115	-1.4498289	2.832875	-2.3920054	0.7548905	-0.26219946	0.3021338	-0.64492846	0.65603495	1.8004334
5	-2.7875385	-1.0331607	-0.30906105	1.8791267	-0.71841663	2.7318559	-0.2902047	2.1968913	-0.9854033	0.058850057	-1.0200354	-1.5740819	3.0479035	-2.6239038	0.8997346	-0.25926486	0.32705444	-0.70805854	0.64873123	2.0596182
6	-2.962852	-1.2066424	-0.29283074	2.030219	-0.7476699	2.9270778	-0.31477532	2.3862243	-1.1039519	0.07456159	-1.1647995	-1.7743313	3.3262017	-2.8319907	0.97605604	-0.31421462	0.40266597	-0.7115682	0.7765188	2.162951
7	-2.6511788	-1.0410018	-0.23602104	1.8054497	-0.6874757	2.5718517	-0.29419905	2.1614492	-0.88845474	-0.014297624	-0.93114126	-1.6533222	2.918491	-2.4951982	0.77994496	-0.27611756	0.40188396	-0.6767105	0.7489755	1.8966514
8	-2.8192081	-1.1301999	-0.28513715	1.9446678	-0.6738342	2.7304413	-0.30493462	2.2436805	-1.0539103	0.06134664	-1.1013103	-1.7001493	3.1474278	-2.677539	0.9302568	-0.3030981	0.39962667	-0.6475628	0.7514922	2.0319185
9	-2.89691	-1.1101855	-0.31107998	1.9331688	-0.75950164	2.8342972	-0.31309512	2.314587	-1.075551	0.062030945	-1.0858536	-1.6541991	3.1921809	-2.7097583	0.9010079	-0.2710468	0.36886042	-0.707671	0.6844063	2.1089408
10	-2.8433156	-1.096337	-0.2744002	1.9175247	-0.71731895	2.757983	-0.2960342	2.248372	-1.0458362	0.080031216	-1.0828804	-1.6398388	3.1151161	-2.655616	0.9070299	-0.29487208	0.3711815	-0.685365	0.70605904	2.0569544
11	-2.5289812	-1.0189171	-0.21532826	1.7404101	-0.668354	2.5074275	-0.26916736	2.0394075	-0.92245954	0.032947075	-0.9503682	-1.5328068	2.8681562	-2.4536343	0.8215294	-0.29695234	0.34273154	-0.6107474	0.69893485	1.8299186
12	-2.6912332	-1.014574	-0.33735815	1.8257909	-0.6663341	2.6969018	-0.30234027	2.1534162	-0.9797761	0.008935879	-1.0095071	-1.5907091	3.0693016	-2.6107512	0.8650961	-0.2529248	0.3444143	-0.70316166	0.6771172	1.9685559
13	-2.6342566	-1.0449034	-0.2578183	1.8249915	-0.6696472	2.6287699	-0.26468766	2.1007552	-0.9702287	0.036920466	-1.014735	-1.5637003	2.9495761	-2.5570767	0.8551408	-0.31025594	0.32806808	-0.6319459	0.71272856	1.8958738
14	-2.4692822	-0.9220121	-0.33615628	1.6117586	-0.64625865	2.49172	-0.28005606	1.9883157	-0.89385146	0.055970453	-0.93761414	-1.3609179	2.8315542	-2.357085	0.7662333	-0.20723653	0.3152454	-0.66563565	0.5523773	1.844695
15	-2.6235423	-1.1258602	-0.28785393	1.8544984	-0.7345579	2.7133205	-0.26053107	2.146442	-0.9454739	0.005938193	-1.0349188	-1.6078619	3.1562262	-2.695706	0.86834157	-0.29661235	0.32786041	-0.68926245	0.7162518	1.97602
16	-2.688469	-1.0795075	-0.293352	1.8441758	-0.6894793	2.7155888	-0.27183723	2.1537762	-0.9890052	0.03241429	-1.0606817	-1.5966387	3.071663	-2.6431582	0.86173224	-0.2893871	0.34647298	-0.666163	0.71764225	1.9524411
17	-2.9555678	-1.1555321	-0.23443858	1.9793463	-0.80683196	2.8872676	-0.31909567	2.389962	-1.0685622	0.06035034	-1.0700855	-1.6992964	3.2382467	-2.7762837	0.9225739	-0.316872	0.39076233	-0.78054374	0.6771096	2.2055688
18	-2.894838	-1.1278629	-0.26256764	1.972039	-0.69220346	2.800164	-0.29405853	2.2880058	-1.0906677	0.08021811	-1.1006477	-1.706215	3.1406684	-2.7277334	0.96144587	-0.31783277	0.40389884	-0.6888092	0.7193025	2.1079648
19	-2.5703769	-0.96769774	-0.317494	1.675823	-0.7197942	2.594874	-0.29920906	2.080048	-0.8979123	0.03759142	-0.9527683	-1.4208379	2.9630892	-2.4404035	0.7599317	-0.22978894	0.30783957	-0.68893677	0.6045232	1.8986201
20	-2.6621866	-1.0398012	-0.27211303	1.7930658	-0.7086623	2.666794	-0.2756605	2.1236727	-0.9795092	0.038826555	-1.0249377	-1.5473691	3.008082	-2.5902152	0.8662401	-0.27026594	0.33641773	-0.6704003	0.65393627	1.9675763
21	-2.6342008	-1.0271838	-0.2425013	1.7567359	-0.69144803	2.622041	-0.26855576	2.1249704	-0.96148413	0.020279102	-0.9811447	-1.5275586	2.9601011	-2.53027	0.7941587	-0.30536428	0.34465122	-0.67520964	0.67136997	1.89377
22	-2.6673126	-1.051442	-0.267222	1.763404	-0.77230835	2.7873342	-0.23898156	2.1825173	-0.9280967	-0.04170754	-0.9710506	-1.5654788	3.0935204	-2.7114332	0.8139641	-0.29131493	0.32616413	-0.7602209	0.6729443	1.9792086
23	-2.5941048	-0.9832989	-0.2967939	1.7186067	-0.68256295	2.5944133	-0.288043	2.0723083	-0.9331357	0.05649729	-0.98563224	-1.4583567	2.9397123	-2.476775	0.8063725	-0.25043502	0.3309589	-0.6820851	0.6328899	1.9010859
24	-2.65545	-1.0634584	-0.24937288	1.8027216	-0.712148	2.6732578	-0.26820087	2.1276665	-0.9600607	0.04868421	-1.0265752	-1.5540204	3.0260725	-2.5818062	0.82620627	-0.30596828	0.34393066	-0.6841758	0.7133368	1.9263692
25	-2.591968	-1.0247765	-0.27632347	1.7650843	-0.6723621	2.57901	-0.28135973	2.092735	-0.948525	0.032958426	-1.0016698	-1.5541774	2.9405384	-2.5092387	0.8368398	-0.2650156	0.35498327	-0.64321965	0.7005454	1.8704209
26	-2.7326672	-1.0917422	-0.28268948	1.8839664	-0.7321948	2.734633	-0.27643922	2.1942441	-0.9531673	0.008253175	-1.0511539	-1.6478094	3.088622	-2.6713378	0.87536407	-0.28594396	0.34369022	-0.6836155	0.76064014	1.97276
27	-2.8720174	-1.1751066	-0.21871138	1.9833628	-0.7048847	2.7880607	-0.26222152	2.2731109	-1.0768926	0.035400324	-1.1164806	-1.7489198	3.1497734	-2.7776122	0.94823825	-0.33832717	0.38848	-0.6646369	0.7817602	2.0427544
28	-2.5347998	-0.960712	-0.268848	1.6836232	-0.6985766	2.5589154	-0.26986036	2.042335	-0.86247385	0.026214363	-0.9415315	-1.4572985	2.8664365	-2.4289913	0.76666296	-0.24586377	0.30792332	-0.6942596	0.6306749	1.8728857
29	-2.4293067	-0.97779995	-0.21260293	1.6474411	-0.6879873	2.4170692	-0.26365224	1.9776527	-0.8487903	0.0013724109	-0.8952001	-1.4781629	2.796148	-2.3853257	0.7807131	-0.25923496	0.34206986	-0.6131663	0.64191926	1.8067105
30	-2.6310558	-1.0503628	-0.25921983	1.8109049	-0.6670734	2.592132	-0.27450672	2.103821	-0.9608779	0.03708708	-1.0207986	-1.5871304	2.9559097	-2.531863	0.85293424	-0.28777504	0.35119915	-0.61828715	0.72087896	1.8899522
31	-2.7888548	-1.0741022	-0.28606334	1.8736743	-0.7336795	2.777513	-0.27043012	2.242573	-1.0012947	0.021630164	-1.0167987	-1.6116666	3.0954764	-2.6756084	0.8697098	-0.29678503	0.33913594	-0.7261042	0.6856496	2.0310502
32	-2.6622057	-1.0581608	-0.25460592	1.802475	-0.64923316	2.5872636	-0.27863085	2.1370046	-1.0033888	0.055020835	-1.046389	-1.5870786	2.977341	-2.5190842	0.8411809	-0.30933523	0.3860638	-0.6129574	0.72680914	1.8731233
33	-2.5743177	-1.0907844	-0.1443927	1.7795742	-0.7038693	2.5590253	-0.22633244	2.143177	-0.9610841	-0.043829568	-0.9076667	-1.6502076	2.912222	-2.5931993	0.8547406	-0.3506262	0.3782121	-0.6610959	0.69617873	1.8924531
34	-2.4591155	-0.87878627	-0.32661486	1.5883424	-0.7002043	2.5076768	-0.30123782	1.9958462	-0.8259373	0.011367509	-0.8811876	-1.3548665	2.8403094	-2.3608618	0.73368937	-0.19502938	0.29891545	-0.704738	0.54918754	1.8575134
35	-2.8251975	-1.1237776	-0.25975257	1.9372809	-0.7081406	2.7492108	-0.2866903	2.265448	-1.0445195	0.070738494	-1.054643	-1.6733335	3.0904438	-2.6497834	0.9092965	-0.30825707	0.37040836	-0.6803141	0.7199056	2.0476925
36	-2.60581	-1.0730251	-0.25095686	1.7763611	-0.660221	2.5584645	-0.26330507	2.1131868	-0.9858145	0.02708852	-1.0053924	-1.5749379	2.9387455	-2.5163689	0.842017	-0.29335144	0.3664602	-0.6125495	0.69780815	1.868942
37	-2.7212102	-1.0944217	-0.27458102	1.8612087	-0.6945192	2.673767	-0.2636757	2.1737587	-0.9818487	0.04788004	-1.0804963	-1.6164461	3.0225127	-2.5777845	0.8398175	-0.28915486	0.34711707	-0.64601487	0.73894817	1.9312578
38	-2.701753	-1.0614938	-0.26245794	1.8351384	-0.71899265	2.7160273	-0.28874055	2.1506102	-0.98422456	0.04093401	-1.0434637	-1.5752589	3.0494683	-2.6424792	0.87637925	-0.29662296	0.35313123	-0.67642516	0.70353097	1.9814156
39	-2.4667659	-0.94860184	-0.28144166	1.6476002	-0.6540261	2.480738	-0.27368328	1.9819604	-0.8840947	0.033906925	-0.9441983	-1.4095644	2.8133352	-2.3852432	0.7736918	-0.24600121	0.31511003	-0.6358028	0.62310666	1.8027129
40	-2.4811375	-1.032918	-0.22740613	1.7113839	-0.64161026	2.459105	-0.25104368	1.9879591	-0.94390273	0.048111852	-0.98507696	-1.4865696	2.8253512	-2.4112039	0.8045415	-0.2956052	0.33431065	-0.56306046	0.6868673	1.7761779
41	-2.4942582	-1.0456179	-0.24568753	1.738857	-0.66756785	2.5130696	-0.26357153	2.011187	-0.906715	0.049301345	-0.99245507	-1.5168879	2.892919	-2.4615853	0.8316867	-0.2801027	0.33913898	-0.61254424	0.7098911	1.8276268
42	-2.69755	-1.109903	-0.23904872	1.8835773	-0.6882494	2.7092786	-0.25743532	2.1796234	-0.9908187	0.024410838	-1.022461	-1.6687759	3.057361	-2.6563628	0.87764025	-0.33081585	0.36330217	-0.6734747	0.764976	1.9498081
43	-2.5624757	-0.9742119	-0.27294788	1.6692079	-0.7240154	2.575938	-0.27887568	2.0675993	-0.8966339	0.049888205	-0.94305795	-1.4310117	2.86095	-2.4163709	0.7811672	-0.22439502	0.31202888	-0.6846112	0.5813015	1.9175895
44	-2.7527611	-1.075103	-0.2623969	1.8355842	-0.73171616	2.71212	-0.2594867	2.2124906	-1.0350361	0.015974881	-0.9995903	-1.5903653	3.0164092	-2.6278872	0.8758531	-0.2947697	0.33012855	-0.6559697	0.66238856	1.9850829
45	-2.7907593	-1.125099	-0.3001706	1.9091023	-0.7018986	2.7853653	-0.27892193	2.2327285	-1.0310346	0.07670636	-1.0941734	-1.6454858	3.1317997	-2.6869476	0.91754955	-0.29321414	0.36944753	-0.68236	0.7375763	2.031189
46	-2.8091662	-1.1333333	-0.26681423	1.9190689	-0.7297622	2.7793744	-0.27377906	2.24558	-1.0478388	0.050180178	-1.0883111	-1.668824	3.1633887	-2.7124584	0.9205089	-0.31290427	0.36050332	-0.66208	0.71778774	2.0547814
47	-2.752317	-1.0746121	-0.25660235	1.8756797	-0.71632105	2.7255805	-0.3029536	2.211173	-1.0083935	0.049887802	-1.0375698	-1.618719	3.0723028	-2.613684	0.8581154	-0.30861586	0.35784334	-0.6926115	0.71284246	1.9962697
48	-2.5570889	-1.0454563	-0.28829992	1.7528943	-0.698321	2.6335182	-0.26005468	2.0964918	-0.8883023	0.008797538	-0.9849962	-1.5171692	2.975186	-2.533808	0.793448	-0.2803677	0.3102427	-0.6633127	0.69786817	1.8712132
49	-2.7356627	-1.0965937	-0.28328535	1.8710755	-0.70001197	2.723376	-0.2748969	2.179344	-1.0223211	0.06035146	-1.0853747	-1.605856	3.0829875	-2.6432815	0.8913185	-0.2953646	0.34829247	-0.6501983	0.7156447	1.9800012
50	-2.7432244	-1.0796356	-0.29707676	1.866239	-0.7292771	2.7426667	-0.29576513	2.1906564	-0.9707158	0.03840823	-1.0611528	-1.6095186	3.1073368	-2.6539204	0.8729012	-0.2702295	0.35004318	-0.6945885	0.7151636	2.0123892
51	-2.650268	-1.0492357	-0.26286557	1.8149103	-0.705376	2.6558917	-0.29206547	2.127998	-0.9692547	0.048188753	-1.0266067	-1.5621852	3.0249276	-2.5825033	0.8683393	-0.28532693	0.3444003	-0.6709482	0.68103385	1.9605802
52	-2.8021948	-1.1250819	-0.2692491	1.9311562	-0.70515615	2.7403324	-0.28890312	2.233428	-1.041195	0.06770716	-1.0655318	-1.682306	3.1096861	-2.662068	0.9212439	-0.29827031	0.3724736	-0.6525448	0.7520867	2.0190806
53	-2.139075	-0.7400517	-0.33383396	1.3631762	-0.65680677	2.2697706	-0.29050347	1.7488616	-0.6871674	-0.027292289	-0.77281535	-1.1310189	2.579184	-2.1513922	0.6489831	-0.1423283	0.23926623	-0.6735451	0.43653467	1.6826799
54	-2.2334929	-0.7576283	-0.36606592	1.4003255	-0.663189	2.3313878	-0.30469522	1.8347172	-0.70826495	-0.015977211	-0.76423454	-1.1802766	2.6671736	-2.1571572	0.62390053	-0.13125014	0.25297338	-0.6951117	0.46681467	1.7101011
55	-2.031078	-0.694598	-0.33320174	1.2617567	-0.6142087	2.130898	-0.26534513	1.6681358	-0.63829535	-0.025687259	-0.7177445	-1.0413224	2.4265575	-2.012	0.6052437	-0.12138841	0.22543909	-0.63871175	0.3898017	1.5893177
56	-1.9611372	-0.6926622	-0.28382322	1.253487	-0.6008811	2.065609	-0.23270497	1.6083632	-0.6381975	-0.024708405	-0.6871185	-1.0509187	2.324609	-1.9555385	0.5892602	-0.15259683	0.21123488	-0.59869456	0.41812465	1.5139587
57	-2.2823105	-0.81873435	-0.29755726	1.4964457	-0.64853036	2.311266	-0.26918086	1.8419318	-0.7517165	0.007014687	-0.8108606	-1.2804985	2.634115	-2.191036	0.68551147	-0.19004254	0.26994663	-0.6295664	0.548005	1.7011178
58	-2.2441823	-0.7781207	-0.34463826	1.4172175	-0.6682448	2.3714323	-0.2807278	1.8383831	-0.7216444	-0.020228958	-0.80285954	-1.1999607	2.688205	-2.2341685	0.67406636	-0.16061664	0.25782895	-0.702794	0.4730836	1.74069
59	-2.030102	-0.6896213	-0.3305622	1.2708395	-0.633538	2.1832895	-0.28299206	1.67357	-0.6453214	-0.050429236	-0.73158586	-1.0588559	2.4737763	-2.066095	0.5979151	-0.12878668	0.23191364	-0.6691213	0.38693038	1.6176857
60	-2.3365266	-0.81011295	-0.338098	1.471847	-0.6912674	2.406041	-0.285143	1.8941989	-0.7595989	-0.00046641345	-0.83347857	-1.2326673	2.7241008	-2.26003	0.6921001	-0.1638687	0.26519257	-0.69388986	0.47475347	1.7961802
61	-2.1951518	-0.7524182	-0.32623014	1.3853403	-0.66325426	2.28968	-0.2683997	1.7859254	-0.70021796	-0.024575232	-0.77367795	-1.1490892	2.5778744	-2.160804	0.6414413	-0.15364453	0.2375315	-0.6837613	0.4381108	1.6997828
62	-2.0507996	-0.6854125	-0.3328474	1.2896641	-0.632665	2.1299474	-0.26438132	1.672132	-0.6403248	-0.019074325	-0.708754	-1.0732529	2.4471903	-2.0023973	0.6004185	-0.13008851	0.22201253	-0.61760074	0.42899564	1.5759908
63	-2.08976	-0.707003	-0.30058822	1.3218559	-0.64875716	2.1920576	-0.2785602	1.7032948	-0.6556067	-0.03449953	-0.7213518	-1.1218672	2.4873393	-2.0715005	0.6166676	-0.14485557	0.2385415	-0.6534977	0.44053707	1.6273565
64	-2.085482	-0.7221986	-0.3225051	1.3105146	-0.6369755	2.194112	-0.28744003	1.7144188	-0.67389226	-0.02547149	-0.73644054	-1.0802573	2.5065103	-2.0696235	0.6069297	-0.14036877	0.23617877	-0.6568638	0.41783932	1.6205068
65	-2.2224536	-0.786841	-0.317281	1.4379766	-0.65593785	2.3116236	-0.27857772	1.7992582	-0.72905844	0.0024663755	-0.81275666	-1.1903483	2.6040199	-2.1939878	0.68427444	-0.16600433	0.253282	-0.66467786	0.485922	1.7073567
66	-2.0357547	-0.7267506	-0.30557397	1.3087602	-0.60317236	2.1230426	-0.27329573	1.6741698	-0.6684392	-0.014640853	-0.725816	-1.1133332	2.4479275	-2.0114977	0.62106997	-0.14638403	0.2451693	-0.6117378	0.44515643	1.5761886
67	-2.172207	-0.74499893	-0.31852368	1.3812084	-0.66394764	2.2669406	-0.27294663	1.770107	-0.6884522	-0.024218654	-0.7578367	-1.1487085	2.5575264	-2.1343865	0.6354572	-0.14816916	0.23097838	-0.6787459	0.43624982	1.6893289
68	-2.1333501	-0.748693	-0.32670736	1.3442827	-0.6508994	2.266009	-0.28173986	1.7506989	-0.6901571	-0.011780683	-0.76518935	-1.1288869	2.56792	-2.1378298	0.6485812	-0.13867146	0.25211358	-0.67915285	0.43302545	1.6824869
69	-2.0113804	-0.7010963	-0.31873256	1.26511	-0.64076453	2.155158	-0.25343463	1.6577024	-0.63041437	-0.039195646	-0.71688807	-1.0443147	2.4568522	-2.044243	0.5989094	-0.13587478	0.20549072	-0.6500603	0.393885	1.591877
70	-2.1803882	-0.7441271	-0.3450598	1.3796213	-0.61542237	2.2031827	-0.28698304	1.7751644	-0.7031752	0.0124815535	-0.7446516	-1.1629276	2.552558	-2.052634	0.63899726	-0.13496043	0.25548458	-0.63496536	0.47133556	1.6415606
71	-2.1135845	-0.713469	-0.3370491	1.3258995	-0.6478767	2.2398565	-0.2612304	1.7332389	-0.6585208	-0.03854455	-0.73532975	-1.0948102	2.5196147	-2.1007411	0.6042148	-0.14099593	0.21693613	-0.6873198	0.40904477	1.6517732
