	0
0	0.7679267
1	0.76058364
2	0.7709173
3	0.79331255
4	0.74952054
5	0.7216564
6	0.7383465
7	0.77574146
8	0.7590057
9	0.7442032
10	0.7724886
11	0.7021164
12	0.7064718
13	0.7486744
14	0.76724017
15	0.73713005
16	0.76322174
17	0.75231975
18	0.7554049
19	0.77125144
20	0.769218
21	0.75805855
22	0.75394475
23	0.7665695
24	0.710986
25	0.75341886
26	0.7564276
27	0.6225528
28	0.6420895
29	0.65358144
30	0.62952024
31	0.63585573
32	0.6477537
33	0.644316
34	0.6137959
35	0.6300985
36	0.66457975
37	0.6306698
38	0.70303166
39	0.63091016
40	0.64669
