	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
0	2.1074886	-0.3874382	-0.17201471	-1.9875672	1.4497309	-0.2180319	1.8262589	-0.6478867	-0.7153659	-0.8907195	-1.1080834	-0.26113036	-0.253474	0.8088691	-1.3818221	1.2076048	-0.6092958	-0.7785154	-2.5323384	2.4111614	0.12794131	0.1872227	0.30998373	1.2650561	1.1756989	1.375633	-0.07839209	-0.41914997	-0.71326673	2.1325073	-0.015465752	1.4783078	1.1422285	0.8482276	0.45384547	0.10370326	0.9856572	0.4572977	0.21059297	0.3668071	2.1590066	-1.3698784	-0.053432353	0.103221804	0.21266791	-1.3216887	-1.6792637	-0.22147627	-3.253108
1	2.0561829	-0.3880901	-0.14320646	-1.9361894	1.4183135	-0.21104379	1.7793268	-0.6638375	-0.6866049	-0.8496667	-1.0599457	-0.26508668	-0.2347456	0.8131357	-1.3637688	1.1854224	-0.5889982	-0.75006926	-2.4595797	2.341069	0.12639932	0.21646228	0.3216809	1.2143583	1.1370131	1.3191353	-0.07879754	-0.38887486	-0.6906194	2.0952182	-0.026394676	1.4449408	1.1069242	0.8394714	0.44947085	0.06740784	0.9506421	0.45248982	0.21082091	0.35428727	2.0871546	-1.314492	-0.05662181	0.09567253	0.20816763	-1.2527856	-1.6342243	-0.20954037	-3.165391
2	2.1452355	-0.40896273	-0.15542315	-2.0192568	1.4886053	-0.2135129	1.8641137	-0.6593526	-0.7447795	-0.9045153	-1.1377351	-0.2398522	-0.2734096	0.8392036	-1.4453027	1.2344906	-0.64402694	-0.8027032	-2.5831017	2.4590209	0.15739582	0.20695224	0.27251047	1.2788594	1.235894	1.4226317	-0.075775355	-0.4358324	-0.7351886	2.1965714	-0.011506063	1.5198736	1.1640433	0.85950077	0.4597574	0.11853169	1.0033451	0.456123	0.2162245	0.39436665	2.2067995	-1.3636628	-0.1001502	0.10299143	0.18357807	-1.3480352	-1.7146169	-0.24233136	-3.306776
3	2.198433	-0.44044366	-0.16816267	-2.0643253	1.520513	-0.21443546	1.8807207	-0.683777	-0.7489234	-0.94854695	-1.1472037	-0.29144904	-0.2645181	0.88102347	-1.4473389	1.277845	-0.6358536	-0.8183567	-2.6422753	2.5009117	0.139357	0.2014829	0.3113081	1.2696714	1.2262304	1.4228176	-0.07273605	-0.4210751	-0.7431497	2.2461042	-0.05775843	1.556967	1.1781626	0.8983814	0.45681074	0.08895341	1.0530987	0.4581066	0.21247238	0.39091262	2.2336414	-1.422877	-0.072339386	0.1287406	0.2250678	-1.3672303	-1.7465644	-0.22340141	-3.3896286
4	1.9347104	-0.3742067	-0.15783483	-1.8112134	1.3370278	-0.17536665	1.6860393	-0.60693884	-0.67049295	-0.7869313	-1.0002288	-0.22471265	-0.21100934	0.750548	-1.2790232	1.1150762	-0.56316274	-0.68817896	-2.3072824	2.2013862	0.1086699	0.17823564	0.26187977	1.1560521	1.0674356	1.2334194	-0.07579181	-0.37701038	-0.66207516	1.9524157	0.009200774	1.3744086	1.0174828	0.78253907	0.4125359	0.088539556	0.88271904	0.42547178	0.20687944	0.3206547	1.9643424	-1.2293077	-0.06254086	0.08408716	0.17782083	-1.1994045	-1.5192301	-0.21585652	-2.943043
5	2.124872	-0.40353405	-0.21343298	-1.9809219	1.444188	-0.19302672	1.8638431	-0.6731124	-0.7174539	-0.86687803	-1.123798	-0.261015	-0.22462751	0.8145985	-1.3721317	1.2256684	-0.6017378	-0.7401081	-2.5125744	2.433476	0.07417044	0.14801669	0.3410262	1.2924378	1.1660639	1.3681346	-0.1032568	-0.44538027	-0.7609393	2.1263502	0.04884925	1.5310363	1.130957	0.86348754	0.41993877	0.10061622	0.99233615	0.453039	0.2077229	0.3808305	2.2051866	-1.3966656	-0.035340067	0.106694795	0.19950527	-1.2988015	-1.6842536	-0.22858956	-3.2534304
6	2.3120005	-0.46465546	-0.17114809	-2.1654315	1.5994102	-0.19705465	1.9730314	-0.7215552	-0.78456956	-0.9767701	-1.2064476	-0.29170522	-0.2710411	0.9288948	-1.5306039	1.352959	-0.6721964	-0.84330195	-2.7640476	2.6141899	0.14514337	0.23208684	0.3128856	1.3241141	1.2749674	1.4813061	-0.072165824	-0.4353186	-0.7701021	2.3518245	-0.06295845	1.6284338	1.217892	0.95208615	0.4883823	0.08386168	1.0927681	0.4917455	0.23307474	0.39703873	2.3264318	-1.475914	-0.08529733	0.12028383	0.22095802	-1.4229766	-1.8245482	-0.24257807	-3.5312188
7	1.9989464	-0.33131868	-0.15426354	-1.8944105	1.3924713	-0.29816264	1.7462655	-0.64132303	-0.7020471	-0.8946725	-0.9660672	-0.3137644	-0.23915008	0.7243288	-1.3692436	1.1719263	-0.58391935	-0.7606854	-2.4573486	2.297813	0.17833415	0.20248629	0.36124992	1.1895092	1.10491	1.3355138	-0.13596272	-0.37178746	-0.720029	2.1083603	-0.08448526	1.3919399	1.1040862	0.8751176	0.43491307	0.083145976	0.93393135	0.5026859	0.19816063	0.3357829	2.0368934	-1.251821	-0.096677184	0.12122285	0.25168547	-1.2392716	-1.63311	-0.22479573	-3.1812077
8	2.151202	-0.42026958	-0.15013763	-2.0622113	1.4912093	-0.24151881	1.8872697	-0.6629278	-0.7286212	-0.90947145	-1.1481271	-0.3313491	-0.27271616	0.8675587	-1.4184911	1.25827	-0.62917936	-0.80858535	-2.6222436	2.5192645	0.1470251	0.20926805	0.3743973	1.284925	1.2123485	1.4086744	-0.0916735	-0.41696733	-0.7354009	2.2255123	-0.03956639	1.5394423	1.1863254	0.9143831	0.4229214	0.10178108	1.0443585	0.47494385	0.20062673	0.38925853	2.2478368	-1.4231796	-0.042574935	0.13775635	0.23906948	-1.3674715	-1.7386054	-0.2524232	-3.383909
9	2.188327	-0.4568418	-0.195699	-2.097523	1.5381075	-0.19404848	1.9672697	-0.67618656	-0.7732664	-0.9477209	-1.1920502	-0.30118424	-0.2575177	0.8784585	-1.4725542	1.2698073	-0.6746493	-0.80033046	-2.6325173	2.5571556	0.13489242	0.17282706	0.32246676	1.3085036	1.2364619	1.4777136	-0.1317538	-0.44488654	-0.8091602	2.2665694	0.012555866	1.6012866	1.1823336	0.90740496	0.42058516	0.1269914	1.0599254	0.46232757	0.2019678	0.4206674	2.2965243	-1.4555398	-0.0853636	0.1435451	0.18926524	-1.3631665	-1.7730724	-0.27188072	-3.4193568
10	2.167026	-0.42568517	-0.16917549	-2.0141914	1.4983145	-0.21473667	1.8825465	-0.6981599	-0.7371011	-0.9080026	-1.1079077	-0.254168	-0.23201813	0.84956646	-1.4172013	1.2437171	-0.6181519	-0.79089135	-2.5806496	2.448601	0.118774556	0.2114038	0.31482616	1.2747707	1.2021362	1.3899417	-0.087287664	-0.4211658	-0.739152	2.1822097	-0.008995919	1.5323368	1.1532028	0.8880957	0.46454272	0.07573945	1.0034314	0.46138033	0.22641751	0.38427392	2.1880422	-1.3860515	-0.062241692	0.10140391	0.21488543	-1.3274251	-1.7167703	-0.22250733	-3.3079572
11	1.9924815	-0.36965957	-0.14340918	-1.8798654	1.3767657	-0.21690862	1.7326449	-0.6507338	-0.64980847	-0.81827945	-1.0253483	-0.26095688	-0.22826523	0.78451365	-1.2941118	1.1352619	-0.5618477	-0.7390727	-2.3727574	2.2639773	0.11256928	0.21537706	0.329181	1.1867425	1.1155993	1.2921724	-0.07727455	-0.38521248	-0.6568852	2.0194142	-0.017984163	1.398856	1.0747603	0.82454604	0.43838045	0.06884145	0.9213267	0.43271545	0.20961629	0.3600341	2.023224	-1.278344	-0.04003844	0.093002036	0.20633096	-1.2138728	-1.5919232	-0.20651862	-3.0728009
12	2.079731	-0.3763132	-0.18495108	-1.9821001	1.4762356	-0.25741774	1.8214806	-0.70490617	-0.7391921	-0.9154289	-1.0612955	-0.292329	-0.24152912	0.831731	-1.4179121	1.2299501	-0.5767343	-0.7713826	-2.5430133	2.381982	0.13351758	0.18357827	0.3433267	1.2137218	1.1598953	1.3435571	-0.12295628	-0.36928794	-0.77122426	2.1437955	-0.060026858	1.4821403	1.163474	0.8917734	0.46628124	0.091546	1.0152482	0.49327084	0.18798853	0.33824506	2.1654007	-1.3349426	-0.08256565	0.11805464	0.22895405	-1.3103863	-1.696485	-0.21272255	-3.2760534
13	2.0540986	-0.376038	-0.16150312	-1.9194518	1.4164377	-0.21292718	1.7847323	-0.674694	-0.69000137	-0.8445982	-1.052319	-0.25593713	-0.23347843	0.80335534	-1.3517834	1.1840544	-0.5966792	-0.7402438	-2.4414184	2.3316226	0.1023109	0.20775318	0.33187455	1.1978009	1.1513575	1.3300012	-0.07742742	-0.3908032	-0.6989554	2.0908074	-0.008271384	1.4400089	1.0916283	0.83543277	0.4508855	0.084372014	0.9460937	0.44802547	0.2194814	0.36524832	2.0821035	-1.3029886	-0.0383835	0.10578447	0.20541772	-1.2348733	-1.619809	-0.20147566	-3.161622
14	1.9057196	-0.35535553	-0.17603464	-1.799904	1.3222263	-0.19889303	1.6942565	-0.5803762	-0.7046719	-0.8263078	-0.98733455	-0.23039535	-0.2233329	0.7254187	-1.2709752	1.1111481	-0.58963263	-0.6692687	-2.287986	2.2092419	0.10082551	0.14707959	0.2554412	1.118639	1.0986876	1.2645913	-0.1022005	-0.39854735	-0.69467086	1.9758769	0.0030750334	1.3729937	0.9862765	0.7747347	0.3783114	0.14805855	0.8933154	0.43039536	0.20619807	0.33900106	1.97514	-1.2144307	-0.070255384	0.121319175	0.17311913	-1.1907337	-1.5042105	-0.22543809	-2.9376645
15	2.0954561	-0.4099423	-0.17324273	-2.0323126	1.4654505	-0.19848259	1.8417898	-0.64887583	-0.710024	-0.86523074	-1.1201992	-0.3159882	-0.2467664	0.83827066	-1.4072192	1.2344669	-0.640133	-0.75395626	-2.5323482	2.4463456	0.12988697	0.21024324	0.32805714	1.2657444	1.1661733	1.3611149	-0.10042377	-0.39701825	-0.734616	2.1544352	-0.017460901	1.5218784	1.1391301	0.8681124	0.41748837	0.11272581	0.99961996	0.45997757	0.20475528	0.37188303	2.1735888	-1.3634267	-0.08267142	0.10042123	0.20273824	-1.3026841	-1.694187	-0.2519882	-3.2709267
16	2.1064143	-0.4267083	-0.15230142	-1.9859493	1.461779	-0.21426378	1.8374652	-0.66888744	-0.70231426	-0.89358073	-1.118783	-0.27742553	-0.25394392	0.85239744	-1.4042145	1.2216469	-0.6070636	-0.7926993	-2.5276556	2.4144464	0.14018095	0.20321122	0.33970386	1.2414825	1.1886419	1.3872901	-0.096513	-0.41437003	-0.7304154	2.1645763	-0.034478515	1.4972974	1.149881	0.858325	0.43450347	0.0693963	1.0066377	0.4378886	0.19710332	0.3949393	2.1788871	-1.3749207	-0.07783395	0.12438701	0.19591667	-1.2975842	-1.6936922	-0.2282237	-3.2747707
17	2.265117	-0.48090014	-0.15858185	-2.1069095	1.5535271	-0.1879307	1.9424748	-0.7382076	-0.7518221	-0.9124439	-1.2119387	-0.2670796	-0.2833451	0.9339979	-1.5113649	1.3078495	-0.6578522	-0.8172181	-2.695699	2.5649693	0.13065466	0.23062938	0.3095913	1.3053977	1.2755978	1.4616185	-0.058071487	-0.43652445	-0.76870745	2.3016627	-0.0007938107	1.6176174	1.2154684	0.867563	0.46704596	0.10245381	1.0821685	0.43038392	0.22537504	0.44679454	2.3096778	-1.458117	-0.070362985	0.118844956	0.18998231	-1.3653215	-1.7864752	-0.20632875	-3.48575
18	2.2014802	-0.4062895	-0.18010403	-2.080727	1.5150871	-0.21855077	1.8957187	-0.6895633	-0.7308266	-0.92657506	-1.1517718	-0.30776912	-0.23921673	0.8698934	-1.4464276	1.2886153	-0.6370126	-0.8051215	-2.616921	2.519867	0.1165534	0.19436337	0.37839985	1.2976856	1.2169873	1.4224654	-0.09115049	-0.44319254	-0.7620288	2.2608476	-0.02653373	1.5793387	1.1902335	0.9251697	0.4429583	0.07820794	1.0308203	0.48508197	0.19421758	0.39728257	2.2612722	-1.4198841	-0.0644684	0.12732956	0.23700236	-1.337929	-1.756601	-0.23683542	-3.4034705
19	1.9908302	-0.4018557	-0.14016579	-1.890388	1.402928	-0.2046468	1.7639226	-0.6267128	-0.7076746	-0.81770366	-1.0446275	-0.21157621	-0.24955879	0.78411674	-1.3408619	1.1325984	-0.6167825	-0.73455095	-2.3892465	2.290733	0.14228205	0.21097289	0.22973324	1.1861713	1.1778022	1.3332919	-0.07355459	-0.4070468	-0.68345577	2.0490901	0.020466927	1.4357979	1.0653554	0.7793398	0.4200874	0.14649184	0.924146	0.4019508	0.21385495	0.39941207	2.0382369	-1.245221	-0.09574433	0.09190483	0.15640979	-1.2517782	-1.5851669	-0.23279391	-3.0711086
20	2.0663204	-0.3962786	-0.12972683	-1.9571267	1.4327172	-0.20767036	1.8044153	-0.6651392	-0.7027867	-0.83927923	-1.0870559	-0.26005888	-0.2437651	0.8334975	-1.3953809	1.1974714	-0.6110404	-0.755609	-2.4696639	2.3801007	0.12361587	0.22417182	0.32480443	1.214855	1.1650094	1.3325835	-0.07940715	-0.4038051	-0.6950714	2.1303782	-0.009690611	1.464457	1.1121186	0.8230619	0.43296933	0.08555462	0.9501371	0.4406362	0.20141496	0.38815722	2.1113834	-1.3198137	-0.06100216	0.100944534	0.20480974	-1.2548106	-1.6339444	-0.21789446	-3.1934435
21	2.0473228	-0.38883233	-0.15209155	-1.9059757	1.4151378	-0.20465806	1.7583005	-0.6586571	-0.69586414	-0.8583855	-1.0562817	-0.2367762	-0.24025449	0.80186296	-1.3701903	1.1850748	-0.6003626	-0.7482991	-2.4408116	2.3105955	0.124711365	0.20409152	0.30089718	1.1791296	1.151304	1.3320571	-0.06713604	-0.39437607	-0.6994598	2.097246	-0.027785208	1.434915	1.0966368	0.80638826	0.44639644	0.08670561	0.9507549	0.42710033	0.20381443	0.37872648	2.067937	-1.2901924	-0.070512965	0.10645976	0.19564931	-1.2369075	-1.61451	-0.19180699	-3.1538086
