	0
0	0.7472395
1	0.74429363
2	0.7518846
3	0.7722942
4	0.7355113
5	0.71534026
6	0.7300706
7	0.7654004
8	0.7375319
9	0.7377432
10	0.7513066
11	0.7122104
12	0.7081601
13	0.7321247
14	0.7538496
15	0.7321642
16	0.7456242
17	0.7384269
18	0.74019045
19	0.74745244
20	0.746838
21	0.7466449
22	0.7448939
23	0.75022054
24	0.7138505
25	0.7505715
26	0.74956393
27	0.6517395
28	0.6688678
29	0.6769075
30	0.66436195
31	0.6679572
32	0.6752796
33	0.6686293
34	0.65194976
35	0.6521873
36	0.6789951
37	0.6637957
38	0.70561093
39	0.6673285
40	0.6750959
