	0
0	0.755013
1	0.7508778
2	0.7614498
3	0.7805674
4	0.73818696
5	0.7156326
6	0.7381247
7	0.76808286
8	0.7464894
9	0.73323655
10	0.7565791
11	0.7087224
12	0.70520866
13	0.73720825
14	0.75588787
15	0.7377036
16	0.7490798
17	0.7388965
18	0.7443798
19	0.7555253
20	0.75506973
21	0.7490998
22	0.7449124
23	0.7527834
24	0.71423686
25	0.75107336
26	0.75327647
27	0.6466858
28	0.66355294
29	0.671685
30	0.6521882
31	0.6590811
32	0.67128927
33	0.6633559
34	0.63930225
35	0.64266384
36	0.6732512
37	0.6536523
38	0.7080202
39	0.656791
40	0.66987175
