	0	1	2	3	4	5	6	7	8	9
0	-2.3655343	0.66603094	-3.555039	1.6888636	-0.8075179	0.6930809	0.4878717	-2.8672512	-0.7047024	3.0996284
1	-2.2785668	0.6432829	-3.4696703	1.6399386	-0.7816841	0.67207414	0.4944896	-2.7602208	-0.69232327	2.99755
2	-2.4252894	0.6778137	-3.499479	1.6771846	-0.7864135	0.70213383	0.42709887	-2.901842	-0.68922836	3.110868
3	-2.469718	0.68658006	-3.6443176	1.7410499	-0.8249081	0.7075351	0.48599777	-2.9452684	-0.73247176	3.1798005
4	-2.1560538	0.59777474	-3.200739	1.5163649	-0.72613096	0.62369347	0.41591218	-2.6196043	-0.6299008	2.8008451
5	-2.4498625	0.6750559	-3.526998	1.7049652	-0.77328426	0.77441955	0.48430395	-2.862788	-0.7047	3.1800346
6	-2.5673225	0.71918315	-3.8510163	1.8227367	-0.8555479	0.7648879	0.5275015	-3.1002548	-0.7600822	3.3642282
7	-2.2821763	0.58608705	-3.3572743	1.6638149	-0.81974	0.6307758	0.46198717	-2.7452304	-0.6843922	2.9299765
8	-2.4204686	0.6772635	-3.6768	1.7479732	-0.85439736	0.6802265	0.523768	-2.9145994	-0.746024	3.1508482
9	-2.533494	0.69344157	-3.591208	1.7694777	-0.8266953	0.7161915	0.46028537	-2.9493194	-0.7366366	3.192295
10	-2.4073381	0.6802631	-3.6180472	1.7018108	-0.82582295	0.7043926	0.4779189	-2.9199283	-0.7111143	3.1542814
11	-2.2116275	0.6175582	-3.3308234	1.583574	-0.74521166	0.66610235	0.47040623	-2.6597028	-0.6644558	2.9018483
12	-2.3982947	0.6276636	-3.5468423	1.7363666	-0.818968	0.7034665	0.51525426	-2.8276742	-0.72890615	3.0911627
13	-2.2757332	0.6387008	-3.4472566	1.621605	-0.79532474	0.65900403	0.46311527	-2.769335	-0.6808051	2.984732
14	-2.2041829	0.6089725	-3.1180131	1.5126425	-0.6905336	0.6463983	0.38216045	-2.601659	-0.6214775	2.7991579
15	-2.358586	0.6571249	-3.5932908	1.7167541	-0.8070407	0.7264093	0.5363658	-2.8566728	-0.71496356	3.13764
16	-2.3783383	0.663328	-3.5341077	1.6870571	-0.8144953	0.6721824	0.4770408	-2.845203	-0.71319497	3.067869
17	-2.5759883	0.700757	-3.7372758	1.8165487	-0.8669033	0.7337455	0.48868564	-3.0531015	-0.75438946	3.295566
18	-2.4611833	0.69408923	-3.6741176	1.7448251	-0.82612836	0.72804826	0.49088588	-2.9617374	-0.72699434	3.2131913
19	-2.2654338	0.6335581	-3.2515976	1.5635428	-0.7150206	0.6818553	0.39557955	-2.7123947	-0.6338771	2.9212184
20	-2.3451104	0.64631987	-3.4134066	1.6506609	-0.76175576	0.6985344	0.4636736	-2.7680304	-0.6883865	3.019422
21	-2.332308	0.63703567	-3.3596044	1.6426195	-0.77309155	0.66471744	0.43736982	-2.7538733	-0.681942	2.9688501
22	-2.3882246	0.6343717	-3.6131608	1.7234129	-0.8833803	0.6629218	0.5185541	-2.8881993	-0.73262423	3.1130185
23	-2.3134732	0.6377873	-3.2733812	1.5918343	-0.72668165	0.6789495	0.40527418	-2.7179878	-0.6555658	2.935698
24	-2.3258386	0.64809847	-3.4141545	1.6405658	-0.7934232	0.64074415	0.43604472	-2.7827077	-0.68831193	2.97111
25	-2.318151	0.62507284	-3.412634	1.65683	-0.78131825	0.6733081	0.483182	-2.7435048	-0.69711125	2.9836702
26	-2.3405397	0.6567668	-3.610594	1.7105632	-0.8483201	0.6651568	0.5274754	-2.8404648	-0.7300359	3.0805914
27	-2.4477868	0.6951103	-3.807025	1.7922375	-0.89973545	0.6964042	0.5732567	-2.955641	-0.77566105	3.2332113
28	-2.2379322	0.6107781	-3.226789	1.5637882	-0.69354427	0.685904	0.4314579	-2.652112	-0.641939	2.8838263
29	-2.1359522	0.57988304	-3.1901689	1.5357289	-0.73479974	0.6274824	0.4535874	-2.5692577	-0.64226305	2.7844086
30	-2.2544863	0.6403959	-3.4456832	1.6189295	-0.78887945	0.64725035	0.4760492	-2.749448	-0.68465835	2.9611118
31	-2.4371688	0.6683799	-3.5699315	1.7378178	-0.8060764	0.71889085	0.48894837	-2.8963578	-0.71937245	3.1473777
32	-2.243997	0.63922966	-3.526219	1.6349068	-0.8009285	0.6554567	0.5137549	-2.7736423	-0.6961785	2.996351
33	-2.2722235	0.642164	-3.3532574	1.6227642	-0.73490137	0.68910664	0.47920528	-2.6655543	-0.6842264	2.941296
34	-2.2478151	0.60671467	-3.02577	1.5018877	-0.66099143	0.66814595	0.33355117	-2.6032386	-0.60199463	2.7991571
35	-2.4159791	0.66940546	-3.6145914	1.7241774	-0.8242779	0.71940315	0.5031826	-2.8963041	-0.7217107	3.1605873
36	-2.2788155	0.62554616	-3.4319062	1.6459799	-0.78771025	0.6530032	0.49288663	-2.7217646	-0.7002436	2.953537
37	-2.3205512	0.6452312	-3.5412319	1.6934905	-0.8184697	0.66322726	0.51955456	-2.7913122	-0.7215956	3.0312774
38	-2.348015	0.66571337	-3.4841745	1.6497475	-0.78298503	0.69746405	0.4549312	-2.836738	-0.68342644	3.067924
39	-2.215959	0.6045017	-3.1230876	1.5188102	-0.70339966	0.63515484	0.3781023	-2.6051366	-0.627554	2.7935488
40	-2.157054	0.5927872	-3.2640357	1.5481799	-0.75883645	0.61772895	0.45723116	-2.6104255	-0.65550286	2.8146725
41	-2.1619678	0.6110615	-3.3686903	1.5682939	-0.78276277	0.6388224	0.48839414	-2.661029	-0.66502565	2.8896523
42	-2.3391106	0.64606905	-3.6045532	1.7121855	-0.8531711	0.6495144	0.5209743	-2.852086	-0.7288857	3.0654373
43	-2.2684846	0.61170405	-3.1785336	1.5597885	-0.72794676	0.6425728	0.38650024	-2.652906	-0.6444875	2.846093
44	-2.3913994	0.65303445	-3.4805143	1.6905364	-0.7715616	0.7245618	0.48123533	-2.826729	-0.6997815	3.091651
45	-2.438718	0.67198116	-3.600264	1.7284775	-0.8286386	0.7042859	0.487524	-2.9130042	-0.72343343	3.153587
46	-2.4219997	0.6814608	-3.6795464	1.7336447	-0.8263466	0.7117457	0.5283338	-2.9120412	-0.73874325	3.174119
47	-2.4176772	0.6649341	-3.5140843	1.6997672	-0.7651681	0.73819405	0.47229156	-2.8642254	-0.69986945	3.1263015
48	-2.27849	0.64321923	-3.3782313	1.5968517	-0.7529811	0.65928805	0.44778258	-2.7360013	-0.6727689	2.9471838
49	-2.380489	0.66554254	-3.5595691	1.6809028	-0.81361955	0.66936654	0.4788571	-2.8593147	-0.71526283	3.074019
50	-2.422355	0.67014056	-3.488812	1.6911308	-0.7997036	0.6811689	0.44138297	-2.8627903	-0.7054047	3.0757987
51	-2.356536	0.6518699	-3.4480655	1.657795	-0.76726747	0.69947606	0.4663019	-2.787117	-0.6939716	3.0367343
52	-2.3923838	0.6699427	-3.6181161	1.7159125	-0.82596993	0.7086688	0.5050968	-2.8972385	-0.7177342	3.1485713
53	-2.0850096	0.5480009	-2.6273983	1.3460907	-0.558499	0.63386893	0.250247	-2.354081	-0.524006	2.5312126
54	-2.0867536	0.5661154	-2.745303	1.3676472	-0.5613968	0.6638418	0.2834622	-2.4092042	-0.5321467	2.607673
55	-1.9573405	0.5155091	-2.4430568	1.2579261	-0.52558553	0.59086335	0.22138605	-2.2124932	-0.4863606	2.367644
