	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	0.40422067	-0.75185496	-0.46211815	0.5501057	-0.38821828	-0.2577225	-0.9756771	-0.259518	0.70057505	-0.9468946	-1.1577625	-0.44756156	-0.44168642	-1.1039907	0.7384756	-1.6718634	-1.4898989	-1.5130275	-0.82751524	2.1669881	-0.9006462	-0.86615264	-1.6513113	1.0349132	0.60620904
1	0.35451323	-0.7038947	-0.4710053	0.5310381	-0.38780332	-0.25157627	-0.94921273	-0.23430556	0.6572133	-0.91143584	-1.1255833	-0.4274177	-0.42538387	-1.0877775	0.7218995	-1.6104984	-1.417964	-1.482981	-0.8015309	2.123311	-0.88172495	-0.8377273	-1.6088809	1.0324887	0.58290744
2	0.4073055	-0.7997637	-0.4539879	0.54137117	-0.41261733	-0.25031912	-1.0245099	-0.24300213	0.6921153	-0.97517556	-1.1484278	-0.44861507	-0.4716233	-1.0747821	0.7055369	-1.6849909	-1.512947	-1.5002837	-0.82766885	2.1636076	-0.8913929	-0.87308973	-1.6549869	1.0088727	0.5810394
3	0.39921814	-0.7890191	-0.45295408	0.57067156	-0.39918736	-0.27160582	-1.0219302	-0.26647893	0.7200276	-0.96931314	-1.202578	-0.46895966	-0.46215212	-1.1355292	0.7335887	-1.731032	-1.5385704	-1.549314	-0.87085795	2.2125368	-0.92416805	-0.8948676	-1.6950741	1.0577611	0.6380675
4	0.3312598	-0.6887475	-0.43800738	0.49389017	-0.3646934	-0.2318934	-0.90577275	-0.2165256	0.60644186	-0.8726194	-1.029961	-0.41109946	-0.41917822	-0.9918407	0.6529808	-1.5077701	-1.3411406	-1.3671322	-0.7461897	1.972688	-0.81654733	-0.78145516	-1.5043826	0.93980294	0.5308221
5	0.41548267	-0.7968203	-0.48784348	0.5339565	-0.37597632	-0.25867563	-1.0291073	-0.25127608	0.6821394	-0.9535189	-1.1347417	-0.48228607	-0.44695392	-1.0704335	0.6708081	-1.6897347	-1.507596	-1.4980594	-0.8455325	2.1358478	-0.8972069	-0.86816704	-1.6532285	1.0018721	0.5794113
6	0.39069554	-0.7954054	-0.5071041	0.5817002	-0.43317798	-0.25618434	-1.0876707	-0.27767652	0.7530455	-1.056794	-1.2457366	-0.51406235	-0.48366952	-1.2084565	0.7568354	-1.795241	-1.5828818	-1.6210444	-0.9335655	2.3291779	-0.9878827	-0.9115778	-1.7443457	1.095472	0.6484203
7	0.3105116	-0.6588725	-0.41941246	0.51054925	-0.4203632	-0.2610954	-0.9427389	-0.23434472	0.61176926	-0.8611358	-1.1232219	-0.41618565	-0.46343777	-1.070098	0.7076482	-1.5954955	-1.3610058	-1.4336686	-0.81227905	2.0863335	-0.8434372	-0.7931897	-1.5817146	1.0375825	0.63917094
8	0.37124455	-0.7363833	-0.4397469	0.57838565	-0.4001987	-0.25678387	-1.0132405	-0.2804958	0.71541494	-0.9563806	-1.2180951	-0.462857	-0.42303038	-1.1700691	0.72737825	-1.701647	-1.5171508	-1.5359626	-0.8933018	2.1992211	-0.92140007	-0.8782009	-1.6586562	1.0518527	0.6611545
9	0.338248	-0.7387958	-0.40333152	0.5908722	-0.41830292	-0.25466305	-1.0414803	-0.2789637	0.68759876	-0.9651965	-1.1977216	-0.43729243	-0.4674565	-1.137928	0.7287923	-1.702146	-1.5364455	-1.5109186	-0.87375474	2.2062662	-0.88596934	-0.8655614	-1.6931144	1.0589964	0.6799792
