	0
0	0.78889096
1	0.7841195
2	0.79481685
3	0.8301984
4	0.7523743
5	0.7095331
6	0.75120646
7	0.79800475
8	0.7735707
9	0.7496303
10	0.7958058
11	0.6871762
12	0.68680716
13	0.758252
14	0.7803954
15	0.7633931
16	0.7650032
17	0.75683844
18	0.75119126
19	0.78479993
20	0.7811661
21	0.7637389
22	0.74623173
23	0.7753778
24	0.7167527
25	0.7584773
26	0.77744806
27	0.6045198
28	0.6199986
29	0.6260602
30	0.60739183
31	0.6318376
32	0.6346809
33	0.6344158
34	0.5987214
35	0.58087814
36	0.6403465
37	0.6165064
38	0.7032846
39	0.612792
40	0.62615585
