	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
0	2.2389135	1.9848425	1.3254763	-1.7618988	0.76463115	1.5964941	3.0784056	1.9795543	-0.23892243	-1.1282402	0.20638406	-1.8954368	1.1806858	-2.3186145	-0.05903392	0.12177605	0.8499038
1	2.1535015	1.9186496	1.2954931	-1.7046812	0.7271763	1.5442759	3.0002623	1.9377806	-0.20798698	-1.0649356	0.20783225	-1.8644758	1.1622676	-2.271562	-0.051563933	0.09400097	0.8185046
2	2.2494226	1.9602077	1.2837659	-1.7583255	0.7855401	1.582309	3.0816767	1.9788412	-0.24742657	-1.1602697	0.19532761	-1.8791612	1.1722573	-2.3169317	-0.026409727	0.084152855	0.8675911
3	2.3366032	2.045221	1.3892044	-1.8490629	0.7991492	1.660979	3.2033558	2.0582826	-0.23409386	-1.1695182	0.20945454	-1.998645	1.2351681	-2.4229484	-0.04299972	0.08734406	0.8833479
4	2.059955	1.7715712	1.1798835	-1.6072038	0.70023936	1.4241215	2.8103313	1.8125865	-0.2058057	-1.0426313	0.17527547	-1.7320809	1.0710646	-2.112265	-0.042838156	0.09629616	0.79756725
5	2.2643073	1.9388252	1.3034958	-1.7676724	0.7809336	1.5732919	3.0526667	1.960607	-0.23091504	-1.1509526	0.18563156	-1.8917373	1.1599929	-2.3009698	-0.043027945	0.09916565	0.868013
6	2.4400017	2.1082163	1.433146	-1.9223028	0.83946013	1.7071946	3.3515694	2.157333	-0.22577772	-1.2116865	0.22992495	-2.0963898	1.2785342	-2.5356903	-0.040766567	0.07078466	0.93460894
7	2.155981	1.9446281	1.2815305	-1.7021961	0.7307684	1.5289797	3.0740528	1.9908395	-0.20517851	-1.0527424	0.23518649	-1.8831989	1.180711	-2.3101037	-0.06928217	0.10277664	0.8364808
8	2.3106704	2.0678449	1.4156032	-1.8474681	0.7770857	1.6780847	3.2184713	2.0764518	-0.22277041	-1.1380174	0.21191712	-2.020003	1.267714	-2.446589	-0.044763282	0.08043882	0.8653922
9	2.310919	2.0454693	1.3989941	-1.8339297	0.7892963	1.6559478	3.1856644	2.0522199	-0.2188709	-1.1372659	0.20177716	-1.99891	1.2433203	-2.4204245	-0.05797489	0.090306126	0.8720168
10	2.30874	2.011487	1.3474499	-1.8070724	0.77905154	1.6024909	3.2081041	2.0845242	-0.20349775	-1.1409032	0.22385193	-1.99299	1.2286625	-2.4247828	-0.052391548	0.0885982	0.901364
11	2.1060536	1.851256	1.2156912	-1.6301502	0.73502684	1.4721502	2.9650028	1.915121	-0.18358833	-1.0244391	0.21105547	-1.8050877	1.1173052	-2.235115	-0.06411133	0.09357913	0.8278395
12	2.2312422	2.0499816	1.4278759	-1.8114531	0.7216689	1.6555126	3.156868	2.0450158	-0.20671475	-1.0682743	0.21324816	-2.00254	1.2748392	-2.4052284	-0.066156976	0.100101836	0.81965077
13	2.1844943	1.9190606	1.2977728	-1.7130122	0.74174345	1.5314629	3.0376894	1.9659379	-0.18901962	-1.0598849	0.210783	-1.8906286	1.1642596	-2.297829	-0.07258032	0.10379888	0.8434779
14	2.0411875	1.7426516	1.1256881	-1.580403	0.73544174	1.423593	2.76386	1.7606844	-0.23489219	-1.0740772	0.1652199	-1.665717	1.0306437	-2.0726824	-0.0045408504	0.059611578	0.79156435
15	2.2124681	2.0170906	1.3504819	-1.7623916	0.7354448	1.6155343	3.085304	1.9918036	-0.24554184	-1.1136585	0.22220607	-1.904085	1.202514	-2.3266115	-0.06125307	0.13338032	0.82896584
16	2.2283902	1.996165	1.3530159	-1.7683382	0.75700253	1.603568	3.1007292	1.9993055	-0.2155894	-1.0919949	0.20338732	-1.9312289	1.2107275	-2.3488786	-0.06825666	0.106111296	0.8422563
17	2.4083273	2.072293	1.370458	-1.8834172	0.81404126	1.6589901	3.28729	2.1254199	-0.254031	-1.2437943	0.23601201	-2.0259132	1.2388875	-2.4654639	-0.02816876	0.0971864	0.9361068
18	2.3295739	2.0660424	1.397732	-1.8329002	0.7956212	1.651184	3.2391522	2.0924199	-0.21012947	-1.130743	0.21962845	-2.0154727	1.2495613	-2.4525354	-0.0807623	0.11423146	0.8920397
19	2.106282	1.8140475	1.1523944	-1.6209995	0.75267774	1.4580919	2.8936803	1.8567526	-0.23461254	-1.1017535	0.18943416	-1.7298219	1.0742944	-2.1657217	-0.013993256	0.07205842	0.8316075
20	2.1582599	1.9284803	1.2847478	-1.7012798	0.7460971	1.5454235	2.9988744	1.9286693	-0.22129768	-1.0744189	0.20258544	-1.8454739	1.1535484	-2.2632313	-0.061416395	0.10509283	0.822822
21	2.192004	1.9171386	1.2735622	-1.7053019	0.7687746	1.5351157	3.0439818	1.9540185	-0.20424503	-1.0726087	0.20948488	-1.8635498	1.1467746	-2.2911837	-0.07014267	0.10462141	0.84823656
22	2.271015	2.0194843	1.3660696	-1.7866057	0.7577598	1.6156316	3.1374817	2.0277085	-0.22056264	-1.1140506	0.20946528	-1.9461536	1.2140826	-2.3675187	-0.08471607	0.14639954	0.8618849
23	2.119503	1.8304384	1.1980567	-1.6452498	0.7551097	1.4791036	2.9007986	1.8608191	-0.21952903	-1.0869323	0.1910236	-1.7690141	1.0862695	-2.186184	-0.025733288	0.06717933	0.8259219
24	2.2092612	1.9613086	1.3046814	-1.7398744	0.76099914	1.5752869	3.0718424	1.9747063	-0.2253871	-1.0984522	0.19898833	-1.8861824	1.1851574	-2.3144329	-0.05663323	0.101954035	0.84295344
25	2.1318767	1.9280903	1.2778798	-1.6873344	0.7176996	1.5335404	2.9922633	1.943143	-0.21671651	-1.0702782	0.20900947	-1.84587	1.1664484	-2.2644112	-0.049345933	0.09746436	0.8193674
26	2.257706	2.0533767	1.3985423	-1.8047266	0.7434809	1.6500705	3.1708212	2.053939	-0.2219007	-1.1087577	0.23052898	-1.9813532	1.2454501	-2.4050634	-0.061474256	0.11403175	0.84564996
27	2.357656	2.126165	1.4799567	-1.894107	0.7704764	1.7086942	3.3091455	2.1443672	-0.20561965	-1.1240536	0.2315301	-2.0990736	1.3118999	-2.5160007	-0.07974392	0.11074028	0.8794106
28	2.0840569	1.7949198	1.1331632	-1.5910592	0.7562686	1.4424031	2.870935	1.8351107	-0.22859149	-1.0775506	0.19188431	-1.7003309	1.0516566	-2.1445608	-0.028182574	0.08598009	0.824484
29	2.0362623	1.7718632	1.1774434	-1.582623	0.70146316	1.4152474	2.8126504	1.8041629	-0.19687934	-0.9988164	0.18933298	-1.717174	1.0587516	-2.1052916	-0.07613091	0.1251302	0.7854367
30	2.163041	1.9289451	1.3159262	-1.7164854	0.72206193	1.5469358	3.0016792	1.94016	-0.20398615	-1.0558407	0.19652328	-1.8775955	1.1743449	-2.2723892	-0.072517715	0.11489413	0.8176753
31	2.3238258	2.0118837	1.3534966	-1.817175	0.8022045	1.6223675	3.1884677	2.0533392	-0.21950908	-1.1589135	0.22241095	-1.9778571	1.2050663	-2.407974	-0.04915594	0.090228654	0.89564997
32	2.1701758	1.945433	1.3198302	-1.7186047	0.7117311	1.5431839	3.036442	1.9773936	-0.19728756	-1.0608162	0.2236147	-1.8995253	1.1803513	-2.2989125	-0.07350795	0.119948514	0.83130443
33	2.0998173	1.9344407	1.2762924	-1.656409	0.7224158	1.5277499	3.019429	1.9588685	-0.19032359	-1.0114161	0.2228233	-1.849421	1.1731532	-2.290021	-0.07422539	0.097886145	0.81181264
34	2.0293658	1.7078209	1.0777428	-1.5525178	0.74462175	1.393031	2.7132375	1.7232995	-0.24917668	-1.0926336	0.15092985	-1.6109669	0.9959794	-2.023841	0.0004452858	0.066766806	0.7966239
35	2.2918844	2.0139682	1.3681707	-1.8063132	0.78071547	1.6169665	3.1938992	2.064727	-0.19727543	-1.1110888	0.21557604	-1.9949336	1.2339625	-2.421261	-0.062024597	0.08502751	0.8802131
36	2.143191	1.9266589	1.31137	-1.7085874	0.7101743	1.539239	3.0010335	1.9458988	-0.20077789	-1.0478265	0.20753106	-1.8797594	1.1783653	-2.2742023	-0.06415478	0.10174598	0.8125117
37	2.1962278	1.9912207	1.3437585	-1.73668	0.744264	1.5873063	3.100047	2.0081272	-0.198116	-1.0615066	0.23053424	-1.9257827	1.1996672	-2.3533213	-0.076543696	0.10968563	0.83815044
38	2.2473838	1.9695594	1.3344342	-1.7740316	0.7651162	1.5996695	3.0988011	1.991672	-0.21945342	-1.1129616	0.19377066	-1.9241271	1.2004774	-2.3418436	-0.047534905	0.09220605	0.850407
39	2.0314605	1.766353	1.1634679	-1.5931797	0.70396227	1.4241736	2.7689128	1.7760745	-0.2258195	-1.0462761	0.16256846	-1.6941859	1.0615969	-2.078284	-0.033826824	0.0885564	0.7800069
40	2.0529327	1.8193332	1.2338313	-1.6257539	0.6945326	1.4632721	2.8520129	1.8442082	-0.19232754	-1.0167847	0.20201841	-1.7824111	1.1006069	-2.1630025	-0.046758153	0.08047324	0.783806
41	2.0916595	1.8441143	1.2214192	-1.6394142	0.70827323	1.4666811	2.940538	1.9028959	-0.19403647	-1.0286968	0.20626746	-1.8042636	1.1265026	-2.212098	-0.05434815	0.09298957	0.81306076
42	2.241504	2.0515697	1.4368548	-1.807898	0.72905165	1.6484852	3.1640086	2.054613	-0.18822886	-1.0548341	0.2175264	-2.0158484	1.2691466	-2.4172049	-0.08733636	0.11231642	0.83083344
43	2.0923712	1.7993164	1.1928815	-1.6244667	0.74429846	1.4565988	2.8589668	1.8343003	-0.20294617	-1.0571584	0.18656452	-1.7568991	1.0716649	-2.160104	-0.03450689	0.06694604	0.8138179
44	2.20992	2.0152903	1.3844472	-1.7696909	0.74709845	1.6162015	3.1049292	2.0112343	-0.19860992	-1.0676558	0.2191071	-1.9597119	1.2242514	-2.371492	-0.07101047	0.09055629	0.8314498
45	2.3020566	2.022602	1.3484391	-1.8139188	0.79180634	1.6300211	3.1990135	2.0587277	-0.22994086	-1.1520793	0.2183328	-1.9718578	1.2263861	-2.4118342	-0.037923336	0.079145916	0.88237816
46	2.300051	2.0540528	1.3845441	-1.8172204	0.7796127	1.6397094	3.2287412	2.0880919	-0.20843391	-1.1137134	0.21674033	-2.004187	1.25713	-2.4431007	-0.07351415	0.10485052	0.88000673
47	2.2593336	1.9849129	1.3093694	-1.7708588	0.7856035	1.589888	3.1461158	2.0239627	-0.22499622	-1.1272789	0.20825519	-1.9254355	1.2026858	-2.3672395	-0.047624066	0.08564577	0.8734807
48	2.1287682	1.9008594	1.2606332	-1.6729347	0.73974377	1.5329226	2.960367	1.8989923	-0.22216488	-1.0613815	0.19442765	-1.8094296	1.1370516	-2.2328782	-0.054862436	0.10393342	0.8091422
49	2.2550697	1.9925019	1.3403558	-1.7760776	0.77331966	1.5994722	3.1337461	2.019396	-0.21358678	-1.1085356	0.21098915	-1.9415661	1.2062789	-2.368085	-0.061901353	0.09798152	0.8625827
50	2.2365913	1.9727966	1.3142877	-1.7632353	0.76177937	1.592033	3.0709553	1.9717888	-0.2443804	-1.1312478	0.18529208	-1.8863362	1.1903895	-2.3083754	-0.050794423	0.11494414	0.84688824
51	2.2028897	1.9232641	1.2763621	-1.7211939	0.76875985	1.5460681	3.0502896	1.959514	-0.21347925	-1.0926329	0.19597106	-1.8706195	1.1626854	-2.297513	-0.053186156	0.08969132	0.85037667
52	2.2854269	2.0051982	1.361992	-1.7946906	0.7735245	1.6047978	3.183145	2.0625854	-0.19165324	-1.1053166	0.22090563	-1.9880924	1.2243266	-2.4128246	-0.06838505	0.096018955	0.88176656
53	1.8103517	1.4793314	0.85408103	-1.3540063	0.6879184	1.2094582	2.3968458	1.515608	-0.2630043	-1.0385512	0.13860637	-1.3666532	0.8330912	-1.7509631	0.052591346	0.030704241	0.73052746
54	1.868628	1.528131	0.8923216	-1.3763576	0.7353864	1.2449694	2.506965	1.581606	-0.23663434	-1.0361917	0.14664507	-1.4165908	0.8640291	-1.8549209	0.0265809	0.036055796	0.76863587
55	1.6934456	1.3819702	0.80007243	-1.2593647	0.65678054	1.1233851	2.2416253	1.4132003	-0.24067657	-0.97226804	0.13023701	-1.2682328	0.7732554	-1.6465936	0.036784105	0.036410194	0.69233865
56	1.6532489	1.3750509	0.8174894	-1.2405579	0.62526286	1.1081982	2.2142622	1.4048632	-0.21851948	-0.9203249	0.11639607	-1.2698694	0.79261523	-1.6361692	0.010840051	0.053601272	0.6716275
57	1.8937428	1.5984929	0.9999015	-1.436527	0.6914501	1.2875614	2.5681667	1.6408756	-0.21423627	-1.0014269	0.15618387	-1.5168126	0.9346875	-1.9150497	-0.014527293	0.07309476	0.7566453
58	1.8976154	1.5620995	0.92565715	-1.4165709	0.7215012	1.2684903	2.5296154	1.5986416	-0.25517386	-1.059167	0.13735437	-1.4420608	0.893756	-1.8638701	0.020580217	0.05954596	0.7682056
59	1.7389903	1.4203306	0.80432594	-1.2990301	0.66592723	1.1701717	2.290809	1.4401801	-0.26932353	-1.0041305	0.14270397	-1.2999045	0.77662903	-1.6549497	0.05801587	0.030426938	0.6921696
60	1.9328326	1.5994518	0.97303903	-1.4593385	0.73302805	1.3079189	2.5621295	1.6181151	-0.25668678	-1.0745723	0.13660808	-1.4874779	0.9173189	-1.8998743	0.022204135	0.04920292	0.7713583
61	1.8176472	1.4985569	0.904495	-1.3735805	0.68457514	1.2223537	2.4059553	1.5234154	-0.24679123	-1.0250782	0.12821084	-1.3952689	0.8619164	-1.7814798	0.031146511	0.04065846	0.7298298
62	1.7261432	1.4000714	0.8068391	-1.2736429	0.6822859	1.1376446	2.303181	1.4456816	-0.23223026	-0.96828383	0.12100945	-1.2908883	0.7948709	-1.6912922	0.024630304	0.037259713	0.71018666
63	1.7687458	1.4460068	0.8486334	-1.3190404	0.6760856	1.1734791	2.344589	1.4815054	-0.2447045	-1.0043905	0.12865484	-1.33369	0.82158977	-1.7253693	0.029451575	0.047282822	0.72069806
64	1.7512981	1.4183302	0.82886386	-1.3052201	0.67298424	1.162797	2.3110962	1.4599755	-0.24435084	-1.0071331	0.13246563	-1.3181778	0.8010824	-1.7022762	0.05177494	0.022861434	0.71363
65	1.8425491	1.5396645	0.9395324	-1.4038646	0.6830666	1.2451727	2.4574199	1.5629967	-0.24477041	-1.027394	0.13347009	-1.438491	0.89486974	-1.8226829	0.02012584	0.047482453	0.7374539
66	1.7394446	1.4336411	0.86669886	-1.3099312	0.6469452	1.1577076	2.3275766	1.4764966	-0.22086477	-0.9517246	0.1134301	-1.3458238	0.8426459	-1.7171456	0.0043970672	0.060531687	0.7018348
67	1.8135357	1.4947994	0.88677835	-1.3592701	0.689363	1.211944	2.4156246	1.528315	-0.24536325	-1.017911	0.12943314	-1.382836	0.85774	-1.7819941	0.023646351	0.049196105	0.7350212
68	1.8035389	1.4669012	0.84184486	-1.3436065	0.6947232	1.2015702	2.381636	1.5011722	-0.26399225	-1.0381565	0.1338955	-1.3496917	0.8225967	-1.7396815	0.053286783	0.028548175	0.73009557
69	1.7125518	1.3933023	0.82260555	-1.2817019	0.6517042	1.1353717	2.2695546	1.4346191	-0.23412432	-0.972919	0.12048663	-1.2976164	0.8002632	-1.6722667	0.036056265	0.034594357	0.69682825
70	1.8219705	1.4838116	0.9099167	-1.3686738	0.681396	1.2047155	2.4328225	1.5409006	-0.2170715	-0.98422915	0.1316866	-1.4178203	0.86726636	-1.7987344	0.0044323746	0.053674113	0.7351002
71	1.7819319	1.4582247	0.84428126	-1.3250496	0.6896221	1.1879236	2.366663	1.4926878	-0.25292256	-1.0215391	0.1297409	-1.3345859	0.82533985	-1.741532	0.041265722	0.037180077	0.7278792
72	1.6499197	1.3514167	0.8072067	-1.2415504	0.6262262	1.0963773	2.1967616	1.3905073	-0.21799955	-0.9257344	0.11727422	-1.2668874	0.7812181	-1.6225036	0.025373597	0.033390418	0.6702299
73	1.7802043	1.451417	0.8470079	-1.3280287	0.6848551	1.1890259	2.3532784	1.4843047	-0.25168192	-1.0184083	0.1271473	-1.3383545	0.82200605	-1.7309623	0.045209195	0.031945866	0.721675
74	1.7836769	1.4559622	0.85767984	-1.3191766	0.69036484	1.1808007	2.3789852	1.4997357	-0.22942118	-0.9838828	0.12630115	-1.3486449	0.82968324	-1.7523887	0.008943974	0.05830462	0.7286688
75	1.8438159	1.5466322	0.9652942	-1.4032633	0.67232966	1.2461458	2.486695	1.5868008	-0.2156361	-0.98340863	0.1346749	-1.469182	0.9142276	-1.8500583	-0.009571213	0.06677604	0.7360249
76	1.7555465	1.4441342	0.8485238	-1.3066987	0.6735091	1.168264	2.3543966	1.4871769	-0.23157878	-0.9751131	0.1279035	-1.3357023	0.8284417	-1.7332723	0.01597331	0.05194392	0.7162016
77	1.6685475	1.3653932	0.8012621	-1.2476207	0.6416673	1.1054882	2.2163506	1.3986136	-0.23062173	-0.94720274	0.1250601	-1.2625318	0.77444834	-1.6303698	0.026834223	0.039744057	0.68080884
78	1.6418862	1.3363919	0.7644083	-1.230913	0.6340717	1.0989735	2.177736	1.3739284	-0.24014233	-0.9491033	0.13994485	-1.2461087	0.74249643	-1.5886562	0.065243565	-2.199714e-05	0.66301596
