	0
0	0.93180764
1	0.92394847
2	0.93944025
3	0.96091413
4	0.9039439
5	0.76444775
6	0.8511529
7	0.93902254
8	0.9174048
9	0.8959341
10	0.9432229
11	0.63134927
12	0.69837713
13	0.90244377
14	0.91486526
15	0.87161934
16	0.9241699
17	0.93485737
18	0.91850793
19	0.93676794
20	0.92765784
21	0.9258112
22	0.85792065
23	0.9239996
24	0.7124251
25	0.9165595
26	0.88331157
27	0.25036016
28	0.2323702
29	0.34889376
30	0.26463956
31	0.24463788
32	0.3124864
33	0.35113144
34	0.23946819
35	0.27194682
36	0.30892897
37	0.23703939
38	0.6646785
39	0.21866849
40	0.25308603
