	0
0	0.98916554
1	0.98920965
2	0.9959363
3	0.99747086
4	0.97148895
5	0.79123795
6	0.945104
7	0.9926816
8	0.99022293
9	0.97772247
10	0.994559
11	0.6933808
12	0.73764974
13	0.98258597
14	0.9853729
15	0.9542079
16	0.98773026
17	0.94743186
18	0.98919094
19	0.99398494
20	0.99341863
21	0.98070073
22	0.9364417
23	0.9879651
24	0.8456043
25	0.97855943
26	0.9723982
27	0.13108826
28	0.050860316
29	0.2558096
30	0.10053539
31	0.052677482
32	0.14456707
33	0.15188661
34	0.064092964
35	0.059826583
36	0.11644578
37	0.06621778
38	0.8513428
39	0.047827393
40	0.08728659
