	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	0.46488446	2.1688454	1.564362	1.4621356	-0.2736065	-1.0786495	2.1040561	-2.981182	-1.3260007	-1.5278317	2.0849614	-2.950438	-0.4085398	1.8600603	-2.5104527	-1.6221844	-0.47799537	0.3866573	-0.8720134	3.801369	0.0054997136	0.31606567	0.5574304	-2.9319382	0.22598366	-3.420071	0.6629704	-1.6856443	-0.098849386	-1.968347	1.404288	0.118275166	0.91187525	-0.6451408	3.2421734	-1.3487254	-3.5585303	-1.9988296	-0.50462246	-0.42617518
1	0.47395813	2.060855	1.5332769	1.4048109	-0.25154716	-1.0179546	2.0597727	-2.8762298	-1.2612079	-1.4686573	2.0297203	-2.8643637	-0.4078254	1.7937222	-2.413246	-1.5680647	-0.44964597	0.3745144	-0.80993354	3.658891	0.0037729423	0.32443735	0.51925874	-2.8436403	0.24327096	-3.321649	0.6134134	-1.6115828	-0.114796534	-1.8957376	1.3743749	0.11558138	0.8801224	-0.6343463	3.0949025	-1.3057948	-3.419764	-1.9032433	-0.48003432	-0.42670596
2	0.495961	2.1326518	1.5666555	1.4397917	-0.2383923	-1.0208712	2.0884426	-2.9486496	-1.2939448	-1.5427591	2.0955985	-2.9453292	-0.41310805	1.8600503	-2.5076334	-1.6203024	-0.435054	0.3728545	-0.8519372	3.768569	-0.020571116	0.3219925	0.5710448	-2.922025	0.27355355	-3.4045548	0.652504	-1.6718643	-0.11004555	-1.947422	1.40464	0.09196128	0.8795657	-0.64503354	3.2300522	-1.3153739	-3.544	-1.9892329	-0.51998514	-0.44147968
3	0.48757017	2.1793082	1.6155834	1.4936858	-0.2468059	-1.0780871	2.1804616	-3.0784152	-1.3572227	-1.5614676	2.1760924	-3.038305	-0.44940782	1.9188675	-2.601167	-1.6790774	-0.4733779	0.4107446	-0.87213206	3.8945935	0.0015867527	0.34342775	0.5529853	-3.0192842	0.25793076	-3.5324993	0.67624843	-1.709565	-0.1297804	-2.0315845	1.4504539	0.1050395	0.9438709	-0.64998764	3.3026268	-1.3723711	-3.64211	-2.0506449	-0.5133296	-0.4468571
4	0.4494256	1.9512497	1.4505985	1.3356638	-0.21585089	-0.9477195	1.9236593	-2.687577	-1.1598151	-1.3815581	1.9085448	-2.6547031	-0.38797122	1.6811327	-2.2882042	-1.501633	-0.436999	0.37528777	-0.7564273	3.4191644	-0.003334398	0.31408334	0.4806632	-2.695971	0.253569	-3.1303241	0.6011532	-1.5069467	-0.11707561	-1.7871048	1.286095	0.09032061	0.8078004	-0.61541015	2.9004633	-1.187312	-3.2101424	-1.7925594	-0.4459763	-0.42024088
5	0.44123504	2.1562414	1.5357394	1.4643027	-0.2164545	-1.0212402	2.0646145	-2.945829	-1.3142862	-1.5227387	2.074894	-2.9810426	-0.41197783	1.8436543	-2.5344663	-1.5938318	-0.4652513	0.3790463	-0.88220644	3.739311	0.00047788033	0.32682014	0.54544336	-2.886521	0.24460281	-3.403317	0.6861166	-1.6606704	-0.11583533	-1.9654267	1.3665386	0.07616307	0.9023708	-0.62221724	3.2184665	-1.2869616	-3.5326884	-2.014018	-0.5057644	-0.3991983
6	0.5101763	2.2253563	1.7260704	1.5533648	-0.27667034	-1.1210876	2.323889	-3.2031114	-1.4229946	-1.6389568	2.3029196	-3.1969335	-0.45650145	2.0148602	-2.7380216	-1.722709	-0.46537778	0.41988498	-0.9147013	4.085029	-0.024418727	0.3817669	0.5660134	-3.161564	0.29067135	-3.7093205	0.66978073	-1.7912031	-0.12844534	-2.1198394	1.5429603	0.09827844	0.9971386	-0.6809123	3.4264288	-1.45561	-3.8125389	-2.1308594	-0.54248554	-0.44019258
7	0.39072064	2.0404263	1.5244455	1.4463108	-0.27214524	-1.0239755	1.9995575	-2.886927	-1.3178922	-1.4535311	2.0435505	-2.837307	-0.40908974	1.795044	-2.4741242	-1.5686898	-0.48233956	0.41336426	-0.8567107	3.6481993	0.035974298	0.36633456	0.49130455	-2.8357453	0.19554667	-3.3578196	0.6615549	-1.5713342	-0.10260455	-1.9136412	1.3706589	0.048629016	0.8982084	-0.5817608	3.082929	-1.2896634	-3.3971617	-1.9377452	-0.47104993	-0.37437993
8	0.4753806	2.1995564	1.5946441	1.4635382	-0.25478286	-1.0852046	2.174656	-3.0874143	-1.3837142	-1.5111398	2.1303995	-3.0307603	-0.4625721	1.9144509	-2.5652368	-1.6572342	-0.48039666	0.4202084	-0.87646854	3.8921971	0.036154613	0.32449824	0.5402454	-2.9819984	0.2546496	-3.4774888	0.64824677	-1.7146034	-0.123437	-2.0399456	1.4388947	0.15049748	0.97972584	-0.6557217	3.3082504	-1.4004258	-3.6629357	-2.0578735	-0.52694005	-0.44024318
9	0.497781	2.2014856	1.6232247	1.4902792	-0.24970907	-1.0557364	2.1668754	-3.0433307	-1.3734249	-1.5860647	2.2049608	-3.0403848	-0.43033814	1.9207242	-2.603191	-1.6615052	-0.48430514	0.4271245	-0.84799314	3.8811371	0.013415714	0.31401134	0.56768084	-3.046857	0.2877806	-3.5504923	0.6837531	-1.7098653	-0.15005986	-2.0181031	1.463129	0.10401967	0.9358767	-0.6563328	3.3380795	-1.3533435	-3.6396396	-2.0356085	-0.56547546	-0.4270389
