	0
0	0.9998673
1	0.9998076
2	0.999951
3	0.9999896
4	0.9996674
5	0.9769474
6	0.99392015
7	0.99991715
8	0.9998332
9	0.9995177
10	0.9999757
11	0.471524
12	0.89285463
13	0.99972165
14	0.9998281
15	0.9984625
16	0.9999187
17	0.9988961
18	0.99981946
19	0.99995947
20	0.9998506
21	0.99973917
22	0.99815524
23	0.9997811
24	0.9269929
25	0.99918926
26	0.99972343
27	0.0032902956
28	0.0013312995
29	0.013424128
30	0.0017802119
31	0.0016270876
32	0.006117642
33	0.029814124
34	0.0023269951
35	0.0023816526
36	0.004446864
37	0.0021155179
38	0.7846097
39	0.0012049079
40	0.006575674
