	0
0	0.75465643
1	0.7490829
2	0.7590022
3	0.7748109
4	0.7394989
5	0.7180478
6	0.7404213
7	0.7606026
8	0.7464846
9	0.739407
10	0.7522161
11	0.71716064
12	0.7133802
13	0.74110895
14	0.75426424
15	0.73995745
16	0.74423844
17	0.7474627
18	0.74223834
19	0.75221324
20	0.75450575
21	0.7487076
22	0.7423509
23	0.752618
24	0.72139186
25	0.7529693
26	0.74948794
27	0.66270995
28	0.67829585
29	0.6899395
30	0.67045826
31	0.6750243
32	0.683815
33	0.67969257
34	0.658582
35	0.6669357
36	0.68720424
37	0.67168224
38	0.7190898
39	0.6713917
40	0.6810564
