	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
0	1.4568063	-1.9902188	-1.1324172	0.61187786	-0.44340223	3.3909345	-0.13195302	-2.2520435	-0.89281	-4.080039	-0.9684037	-1.0540174	-0.030884497	-0.48754966	-0.55774134	1.949937	-1.5880305	-0.7228002	1.0163347	-1.6697003	-0.12352091	0.32850912	-0.29432	-0.7123176	-2.0165417	2.6014469	-0.7528887	0.6658875	-1.2422467	-1.0206333	0.049135566	-2.9120626	-2.2100399	-0.79343015	-0.3830312	0.19733554	0.020974474	2.055862	2.4596555	0.16924873	-0.49743542	-0.078460135	0.5789431	0.40101856	-0.39722773	-3.429377	-2.0477474	0.5737356	1.9024825	0.46496862	-0.6663343	-0.18950748	-2.3795617	0.2726819	-1.7779808
1	1.427978	-1.9010122	-1.0916828	0.5804738	-0.41548368	3.2277858	-0.11114387	-2.1654572	-0.8937493	-3.9325218	-0.92676055	-0.98765296	-0.022709712	-0.49197802	-0.50877583	1.8708639	-1.531851	-0.67542166	0.9991341	-1.5857233	-0.14823303	0.3212309	-0.2768469	-0.6811267	-1.9220917	2.4580166	-0.69198793	0.63964623	-1.2059784	-0.9531336	0.039332595	-2.835602	-2.1338243	-0.76062816	-0.38271317	0.18940966	0.020032248	1.9820557	2.393323	0.17428032	-0.47768137	-0.089951575	0.5460353	0.36005297	-0.38635108	-3.3498545	-1.965166	0.5211955	1.8288448	0.4580137	-0.6063514	-0.21169583	-2.2862985	0.25862303	-1.6831887
2	1.4468272	-1.9732865	-1.1149998	0.6631166	-0.44121608	3.4137354	-0.10514414	-2.2837026	-0.910421	-4.1067	-0.94664747	-1.0413448	-0.013109926	-0.47204295	-0.5825043	1.9971005	-1.5746105	-0.740355	1.0266684	-1.662563	-0.11547655	0.3435017	-0.30210587	-0.6855415	-1.9893097	2.5764327	-0.7556183	0.6281509	-1.2243439	-1.036906	0.023233151	-2.9473958	-2.2266076	-0.76241565	-0.38243353	0.17769618	-0.00651089	2.0989819	2.5208764	0.22090757	-0.48515186	-0.096525796	0.57549447	0.39094228	-0.41357416	-3.4646592	-2.0615265	0.5280459	1.9260312	0.49027404	-0.64597297	-0.2045488	-2.3863118	0.26276737	-1.7745203
3	1.5070344	-2.065725	-1.18145	0.61826307	-0.40324783	3.4803317	-0.12416848	-2.3411374	-0.90928614	-4.2078247	-1.0048053	-1.0759114	-0.010279631	-0.51890886	-0.55283326	2.006083	-1.6273683	-0.70444727	1.0445162	-1.6835421	-0.14437948	0.33532065	-0.32178935	-0.73082423	-2.024067	2.6284711	-0.7448253	0.6988341	-1.2633908	-1.0416172	0.072005115	-3.0499036	-2.2790596	-0.81616014	-0.4214994	0.21760313	0.06953228	2.1232638	2.5498734	0.17573698	-0.5406433	-0.081474744	0.58627367	0.38247427	-0.40391138	-3.5937662	-2.0998223	0.5728168	1.9486587	0.47622812	-0.6723566	-0.22828504	-2.443232	0.25945878	-1.8118211
4	1.3175772	-1.7932662	-1.0141846	0.53806734	-0.39764148	3.021859	-0.098775834	-2.030268	-0.81547403	-3.6810594	-0.8702159	-0.9288875	-0.020641215	-0.45259774	-0.49583673	1.7279274	-1.4244344	-0.64129776	0.9191613	-1.4609499	-0.14306204	0.27253696	-0.2665747	-0.62667704	-1.8058518	2.3203201	-0.67409843	0.5997311	-1.116034	-0.9001507	0.03556996	-2.6051643	-1.9840089	-0.6885888	-0.35794258	0.1700201	0.022395886	1.8291689	2.1927857	0.1711119	-0.45391887	-0.08150005	0.5265418	0.3492179	-0.37902114	-3.0891511	-1.8413416	0.50511	1.6931176	0.42117098	-0.57400876	-0.18569429	-2.1160126	0.23508182	-1.6006294
5	1.4312128	-1.9956721	-1.1094799	0.56703	-0.44745004	3.331315	-0.13504136	-2.2564652	-0.86282617	-4.0664	-0.94469124	-1.0156658	-0.035665985	-0.48758176	-0.5496248	1.8910927	-1.57891	-0.6884697	1.031503	-1.6137499	-0.14875461	0.29831332	-0.27950898	-0.70445454	-1.9572725	2.5846856	-0.7567778	0.68970275	-1.2282299	-1.0315212	0.067128174	-2.9069262	-2.214953	-0.75393426	-0.42312294	0.19979343	0.041191358	1.9890954	2.4141335	0.1722179	-0.53436774	-0.097726576	0.55803365	0.37000382	-0.3772522	-3.4287107	-2.0339572	0.5899719	1.8549054	0.43273115	-0.63465834	-0.20248239	-2.319131	0.248382	-1.7467861
6	1.6025218	-2.1640227	-1.2520351	0.6434708	-0.3983834	3.6522145	-0.101712644	-2.4621441	-0.95058906	-4.4096026	-1.0631564	-1.1097773	0.0063874954	-0.5679832	-0.58511645	2.0806968	-1.7058421	-0.7354533	1.1138157	-1.7701095	-0.18001978	0.35552755	-0.34591314	-0.7557808	-2.1217387	2.7404075	-0.77575433	0.7487671	-1.3385941	-1.0979925	0.09182923	-3.2308986	-2.3939517	-0.87769115	-0.42714185	0.25933272	0.07862805	2.246929	2.6599774	0.18629682	-0.58910656	-0.07031645	0.5996644	0.4051768	-0.41281417	-3.7801983	-2.2058055	0.6003072	2.0407095	0.48680425	-0.7162077	-0.24626142	-2.5601876	0.2544458	-1.937116
7	1.4812764	-1.8939914	-1.1400763	0.5956183	-0.44563457	3.2731428	-0.034808934	-2.1235118	-0.866945	-3.8948054	-0.94129145	-0.87522155	0.059867565	-0.47068033	-0.6191597	1.8771977	-1.566891	-0.5884085	1.0166024	-1.6396813	-0.26321122	0.3366979	-0.2432333	-0.6271307	-1.8465102	2.4500272	-0.6354943	0.6348625	-1.263167	-1.0215285	0.037677348	-2.9276693	-2.1954124	-0.71459985	-0.37251717	0.27517352	-0.02845295	2.013491	2.3367934	0.20146069	-0.47676808	-0.049069095	0.48388186	0.4011409	-0.3318013	-3.3721495	-1.9121454	0.5487537	1.7581899	0.4067677	-0.61463594	-0.24013528	-2.2906	0.18064882	-1.7220933
8	1.5223793	-2.0192852	-1.1754298	0.6109886	-0.42928594	3.420266	-0.13297705	-2.2908914	-0.938962	-4.1970105	-1.017111	-1.041424	-0.03376352	-0.5453213	-0.52571464	2.0047166	-1.6448172	-0.7096279	1.0660833	-1.7026548	-0.18221954	0.33777624	-0.28686798	-0.73101485	-2.0360498	2.6123607	-0.69699264	0.7045493	-1.2791196	-1.0072206	0.07452629	-3.034546	-2.2977324	-0.8089971	-0.41753644	0.22928967	0.060299296	2.1020782	2.567293	0.15353435	-0.52725196	-0.08929238	0.56250465	0.3831768	-0.4001772	-3.5815413	-2.1114995	0.5653409	1.9182184	0.46404567	-0.6513088	-0.22211957	-2.4293668	0.25779685	-1.8042973
9	1.4572526	-1.996464	-1.1660208	0.64952755	-0.45921928	3.4549804	-0.13720128	-2.3123817	-0.9170249	-4.2005525	-0.98827565	-1.0510087	-0.019839022	-0.54779464	-0.5854691	2.031122	-1.6266531	-0.7611006	1.0590558	-1.7612506	-0.1501244	0.3059451	-0.3173764	-0.6890649	-2.0610747	2.6262555	-0.7399535	0.7010092	-1.2559469	-1.0706671	0.07102976	-3.0127923	-2.2858932	-0.7981344	-0.34411559	0.20841368	0.039575454	2.0779188	2.5754251	0.1962379	-0.51108664	-0.114714704	0.5690469	0.41602686	-0.40962073	-3.555037	-2.1285641	0.57580006	1.9276006	0.46610463	-0.66481453	-0.21453664	-2.4437592	0.24866888	-1.8627672
10	1.4683785	-2.0169487	-1.1647391	0.58555275	-0.392002	3.3870103	-0.13570143	-2.2869432	-0.9007894	-4.1557693	-0.9908822	-1.040656	-0.02609419	-0.5424905	-0.536146	1.9536701	-1.616867	-0.72130835	1.0601622	-1.647465	-0.18675664	0.33588973	-0.31792805	-0.7163817	-1.9922856	2.5782561	-0.72985965	0.6924743	-1.2464794	-1.0217301	0.082186475	-3.0108159	-2.2520618	-0.7971254	-0.39485303	0.20494919	0.07940279	2.067752	2.515384	0.16475469	-0.5422062	-0.092718564	0.5632734	0.36445126	-0.4046578	-3.5382164	-2.0856154	0.5795676	1.9088523	0.46816036	-0.6439976	-0.23677386	-2.368403	0.24714349	-1.7849262
11	1.3946315	-1.8648859	-1.0864861	0.56624156	-0.3681322	3.1186728	-0.10856073	-2.092375	-0.84856755	-3.7839997	-0.90291905	-0.96681434	0.009049168	-0.4828251	-0.505084	1.8235782	-1.4702245	-0.6335968	0.9673962	-1.5078745	-0.16890998	0.31735444	-0.28430194	-0.6383806	-1.8249062	2.3628595	-0.64527816	0.6135236	-1.1641912	-0.93166494	0.059237417	-2.7711406	-2.0600986	-0.721882	-0.37640116	0.19185922	0.034811098	1.9194764	2.2950003	0.15806296	-0.47081286	-0.055006348	0.50254947	0.34154764	-0.36684996	-3.2363355	-1.8960506	0.4928012	1.7681887	0.41885093	-0.5949561	-0.19251959	-2.195446	0.24115174	-1.6149101
12	1.4897869	-2.0137832	-1.1330267	0.56477743	-0.3687306	3.366839	-0.12607843	-2.2715254	-0.90030825	-4.122207	-0.99695396	-1.0222583	-0.021762773	-0.56159747	-0.5258686	1.9520842	-1.6473601	-0.7000417	1.0522976	-1.6724488	-0.21070342	0.36643732	-0.2860958	-0.74457353	-1.9857041	2.5662274	-0.70339644	0.7299275	-1.2459352	-0.9922713	0.12754509	-3.021737	-2.2556357	-0.84148484	-0.4112114	0.2570766	0.093359396	2.094665	2.5323083	0.14910972	-0.590071	-0.08292118	0.55296326	0.35708842	-0.3911201	-3.5616581	-2.0636015	0.5705127	1.8864999	0.47149724	-0.6479269	-0.24964014	-2.362628	0.19851427	-1.7562803
13	1.4433806	-1.9054455	-1.141499	0.5687124	-0.37765703	3.244159	-0.09588857	-2.1580572	-0.8632454	-3.9198139	-0.95799696	-0.96282613	0.015165835	-0.5103807	-0.538775	1.8572043	-1.552938	-0.6788629	0.9956667	-1.5875232	-0.20005457	0.33388442	-0.29724705	-0.6782088	-1.8756253	2.453751	-0.6695102	0.64832026	-1.206996	-0.9742153	0.067188144	-2.8640587	-2.1513226	-0.75455445	-0.367553	0.25217643	0.053189624	2.0070274	2.3755572	0.140964	-0.492696	-0.04758596	0.52311426	0.37717038	-0.3677445	-3.3561676	-1.9696201	0.55896443	1.7985889	0.4338588	-0.65024966	-0.20614149	-2.267785	0.23824419	-1.7210333
14	1.2810062	-1.775482	-0.99405295	0.56111026	-0.41379365	3.0382183	-0.100877196	-2.0635748	-0.788688	-3.6684809	-0.8376081	-0.93938047	-0.0035010674	-0.43990433	-0.5385618	1.7235503	-1.417241	-0.66296446	0.9285142	-1.4599264	-0.092456475	0.24972874	-0.2610844	-0.5867825	-1.7700074	2.316687	-0.6985256	0.59013844	-1.1026326	-0.9470806	0.022206012	-2.59153	-1.9626644	-0.65636665	-0.3382519	0.16585065	0.013210402	1.8327148	2.1868246	0.1957432	-0.44955894	-0.08557598	0.51892334	0.36643314	-0.3583486	-3.0708218	-1.8356656	0.49905968	1.695356	0.4103122	-0.6117404	-0.17948942	-2.100359	0.2269267	-1.5945286
