	0
0	0.7446268
1	0.74375516
2	0.74794817
3	0.76016164
4	0.7314652
5	0.7204401
6	0.7327859
7	0.7562586
8	0.7395003
9	0.7327696
10	0.7461558
11	0.71359235
12	0.71033907
13	0.7355234
14	0.74744827
15	0.73265123
16	0.74194515
17	0.738171
18	0.735866
19	0.7432567
20	0.7457977
21	0.7484498
22	0.74156225
23	0.7438879
24	0.71963215
25	0.742611
26	0.74349797
27	0.6719209
28	0.68579006
29	0.690279
30	0.67783636
31	0.6839005
32	0.6932107
33	0.6892974
34	0.6733141
35	0.6750422
36	0.6922783
37	0.6813872
38	0.70936555
39	0.681903
40	0.68960184
