	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	-1.1942713	0.118072435	-0.059480384	1.50889	-2.4178393	1.7252384	-1.9976351	1.0863624	0.0319225	-3.428003	-0.3360492	1.4833977	-0.7218889	1.3898351	2.2354746	0.74180704	-2.6265197	-0.38777328	-0.6333562	-1.4209443	0.4183407	1.2464236	2.9394917	2.9983387	-0.91985095	0.15396799	0.24505809	-0.008359286	1.3832027	1.1564603	0.7472374	1.0249847	-0.32668185	2.021247	-2.4597247	0.2755558	0.1666674	-0.6113446	2.226449	-0.40906423	-0.17540064	-0.72082096	-0.9069123	-0.45663163	-1.338955	-0.50438476	0.47629315	0.108602084	0.42391467	-0.20178668	-0.114975065	0.47447383	0.45946768	0.4420118	0.017021066	1.5759674	-0.006003871	0.54727703	0.43015975	1.2891134	0.55124974	0.28401896	-2.5751693	1.567555	0.74085575	0.47293895	1.887576	-2.8460424	0.8050948	2.3219082	0.532667	-1.1645652	-1.8048456	0.03762454	1.2439569	1.8671035	1.377985	-0.8219457	-0.76260227	-0.49626476	0.5354205	-0.5694599	-0.28340515	0.9637003	-1.7958752	-1.6925856	0.3539093	2.231787	-1.1815004	-0.7915848	-1.9238322	-0.9167513	-0.9593885	-1.9840778	-0.48432004	-1.3906077	0.1797869	-1.4274675	-0.8745988	-2.025543
1	-1.1513399	0.12633021	-0.076764934	1.4519197	-2.3515573	1.6738635	-1.92467	1.0313711	0.048393846	-3.3199213	-0.32105395	1.4378957	-0.674474	1.323889	2.1482208	0.6750177	-2.512715	-0.3823704	-0.6021948	-1.3797907	0.40492368	1.1874691	2.8050256	2.881598	-0.8692538	0.14726536	0.24731457	-0.04473182	1.3320525	1.0665344	0.688183	0.9864898	-0.31840202	1.9502425	-2.393455	0.28755262	0.16143179	-0.5823773	2.1273324	-0.38498268	-0.1823199	-0.69027036	-0.86595404	-0.4533242	-1.3083048	-0.4967875	0.46361098	0.111574635	0.42076617	-0.2079382	-0.09633312	0.45788172	0.46474293	0.43885925	0.003303411	1.5002604	-0.02023295	0.53797287	0.39657262	1.2655288	0.5577151	0.27066648	-2.4575522	1.5185302	0.7064669	0.44401693	1.8254963	-2.728083	0.79002047	2.2198443	0.4974741	-1.1274883	-1.7241632	0.029841091	1.220139	1.7945951	1.3288409	-0.7892114	-0.73573375	-0.48060405	0.5035243	-0.56578344	-0.2752521	0.8890849	-1.712731	-1.618358	0.3555496	2.1303592	-1.1401818	-0.7578745	-1.8594832	-0.90919614	-0.9018824	-1.9304321	-0.42493734	-1.3386269	0.18428831	-1.3836759	-0.86577	-1.9551998
2	-1.2208399	0.16180144	-0.06592664	1.5386411	-2.4491718	1.7259233	-2.0107405	1.0859623	0.055000708	-3.445713	-0.3807615	1.4865032	-0.7041842	1.3876216	2.241589	0.7318873	-2.6357126	-0.39661843	-0.6474944	-1.4213774	0.45390034	1.2336075	2.946483	2.9864097	-0.8855236	0.1763486	0.25362065	-0.020547112	1.3877536	1.1294699	0.72388136	1.0525827	-0.2984423	2.0085928	-2.4916928	0.26334894	0.15356474	-0.5937434	2.2086217	-0.42816386	-0.18612307	-0.72293675	-0.94493794	-0.4687764	-1.3542532	-0.4829235	0.4795449	0.07508366	0.4331715	-0.2345097	-0.101922065	0.4690292	0.46538052	0.480691	-0.009120614	1.5660177	-0.0014002114	0.59258604	0.42380217	1.2950727	0.5542501	0.25054854	-2.5647018	1.5949225	0.7837023	0.4632169	1.9133846	-2.8815253	0.8262196	2.3115053	0.55124736	-1.136892	-1.7980582	0.007684905	1.2443926	1.8816502	1.4073267	-0.8298399	-0.8078785	-0.49178538	0.527697	-0.5917614	-0.2759844	0.97989637	-1.7697705	-1.7083877	0.37403637	2.1989615	-1.1787347	-0.786775	-1.9240756	-0.9385369	-0.9101698	-2.0232327	-0.4216272	-1.4102645	0.16091798	-1.4595859	-0.8828112	-2.0586092
3	-1.2200567	0.16338658	-0.092832744	1.5588869	-2.4981172	1.7706828	-2.0570986	1.1155461	0.059453484	-3.5566456	-0.37205964	1.5204346	-0.71755844	1.4171455	2.3002086	0.7431837	-2.698447	-0.4254099	-0.6459452	-1.4715694	0.44213536	1.2785343	3.0005915	3.0713797	-0.9342915	0.1773127	0.2668299	-0.035198875	1.4422929	1.1438111	0.7584133	1.0657952	-0.34367493	2.0589976	-2.5612092	0.28292012	0.16591346	-0.6225867	2.286253	-0.4225871	-0.18190603	-0.74495596	-0.9596254	-0.48697764	-1.3970163	-0.49628425	0.49102885	0.13479836	0.44310597	-0.209125	-0.10486354	0.4879049	0.48049644	0.48763475	-0.015537622	1.5864091	-0.006237045	0.57679313	0.42381826	1.3397882	0.5829552	0.27033454	-2.6427813	1.65206	0.76864237	0.48986664	1.9578377	-2.9259639	0.85346043	2.3768578	0.5324155	-1.1879748	-1.8635749	0.0026722522	1.2931931	1.9269781	1.4041528	-0.852715	-0.79556465	-0.52767015	0.53991055	-0.59154475	-0.26673952	0.9619784	-1.8230371	-1.7482795	0.40695363	2.2568133	-1.2095499	-0.80935603	-1.9900706	-0.9609585	-0.9721003	-2.0741267	-0.43541697	-1.4264535	0.18720503	-1.5059867	-0.8948178	-2.1037633
4	-1.0977505	0.13379739	-0.07947817	1.3753982	-2.2136037	1.5633825	-1.7946362	0.9781464	0.04019454	-3.1223807	-0.3125671	1.3354279	-0.6376083	1.2456168	2.0182335	0.65085787	-2.3727376	-0.353088	-0.5628541	-1.2951975	0.41553578	1.1152843	2.640902	2.6881058	-0.7885078	0.14045438	0.22782308	-0.020827176	1.2394885	1.0157814	0.67021954	0.9556062	-0.29085281	1.831668	-2.2532816	0.24323134	0.13937119	-0.5495339	1.9971112	-0.37879547	-0.17753848	-0.6650169	-0.8369995	-0.42058486	-1.2186073	-0.4402172	0.44233721	0.07694153	0.39830706	-0.19729313	-0.08531281	0.42074972	0.43553478	0.42421594	0.006252515	1.4190232	-0.025992766	0.5254816	0.37751558	1.182296	0.52062106	0.23581403	-2.3172257	1.4323729	0.6856502	0.41340864	1.712968	-2.596642	0.7391115	2.091874	0.4895768	-1.0587416	-1.6312186	0.0037904736	1.1311661	1.70015	1.2520993	-0.7435647	-0.7195635	-0.4582458	0.481401	-0.5138683	-0.24689339	0.8559324	-1.5955468	-1.5436858	0.33718327	2.0015762	-1.0865576	-0.7011279	-1.7354	-0.85089713	-0.83352697	-1.8202536	-0.3900688	-1.2859205	0.1480668	-1.3023804	-0.7945034	-1.850009
5	-1.189867	0.1406986	-0.085894406	1.5297418	-2.4218345	1.7261975	-1.9864475	1.0753933	-0.001932458	-3.4451609	-0.37875262	1.4527955	-0.6977635	1.3716248	2.199968	0.7352724	-2.6346953	-0.3865464	-0.6465873	-1.4038079	0.43136993	1.240851	2.9112515	2.9731548	-0.8716571	0.178463	0.2830007	-0.015199823	1.3558441	1.1510024	0.7433798	1.0798289	-0.30154076	2.0182314	-2.4896998	0.21600404	0.1572692	-0.5986924	2.23131	-0.4404623	-0.14913973	-0.76678693	-0.9051765	-0.47738788	-1.3453468	-0.50064594	0.4962582	0.11137203	0.4233481	-0.2108908	-0.1231087	0.46300665	0.4921648	0.48173785	0.040764213	1.5608569	-0.004874553	0.575488	0.43915397	1.3135568	0.57302666	0.25502038	-2.5846293	1.5250689	0.773078	0.45717227	1.8620323	-2.8675432	0.79092103	2.3077333	0.55044425	-1.1798885	-1.8592635	-0.014387506	1.200085	1.8783768	1.341356	-0.8234977	-0.7397764	-0.4828406	0.4985079	-0.5307982	-0.2776112	0.992652	-1.7505149	-1.7240076	0.37727526	2.2017105	-1.182724	-0.77455586	-1.9197209	-0.9470082	-0.92265123	-1.9949437	-0.43399385	-1.4244317	0.17541082	-1.3954338	-0.85029477	-2.0122392
6	-1.2459977	0.19991902	-0.12698314	1.6127645	-2.61635	1.8655548	-2.1445565	1.1410197	0.041431863	-3.7467287	-0.35340768	1.5941416	-0.76442254	1.4578748	2.3842769	0.76500934	-2.8081672	-0.44140393	-0.6788266	-1.5383583	0.4244175	1.322536	3.1056046	3.1999557	-0.96868056	0.16619909	0.28849563	-0.048781224	1.4929518	1.194925	0.8001629	1.1170992	-0.37289953	2.1280406	-2.6652138	0.29652253	0.17127101	-0.6436277	2.3856342	-0.46550453	-0.1640277	-0.80695367	-1.0103265	-0.5036113	-1.475504	-0.5174947	0.54613733	0.14486589	0.45487547	-0.23364231	-0.12825583	0.5065226	0.5133878	0.54965675	-0.002808716	1.695515	-0.0044880165	0.602249	0.4409956	1.445287	0.6282732	0.29195857	-2.769464	1.7120656	0.7955015	0.49577394	2.0286295	-3.0575306	0.8872653	2.4782796	0.5492282	-1.260709	-1.9690028	-0.024068337	1.3291433	2.0151007	1.4813505	-0.8643428	-0.82767206	-0.5833855	0.5474391	-0.6359502	-0.2706862	0.9887828	-1.8862916	-1.8194025	0.43185604	2.3629358	-1.2655357	-0.85064876	-2.0884209	-1.0173194	-1.0156022	-2.160177	-0.43143994	-1.480155	0.21041413	-1.5503523	-0.9437294	-2.1764097
7	-1.1778446	0.12936117	-0.039578475	1.4306808	-2.278726	1.6910007	-1.8971676	1.0705153	0.048667815	-3.257496	-0.35684285	1.4396437	-0.6664067	1.3486757	2.098156	0.67605054	-2.4811337	-0.3866172	-0.5712521	-1.3230736	0.42404544	1.2123646	2.8155265	2.8729122	-0.8553076	0.17169611	0.22580415	-0.052843437	1.2908814	1.038267	0.66496974	0.93929726	-0.2868159	1.9448863	-2.4245846	0.32516816	0.18962	-0.6234471	2.0945628	-0.34353313	-0.20899333	-0.6850077	-0.85416627	-0.50173163	-1.2655759	-0.47981018	0.44242954	0.121266715	0.41855368	-0.20292434	-0.031301364	0.46551347	0.45490432	0.40927753	-0.021477507	1.4496218	-0.05021036	0.49549183	0.38004857	1.1831067	0.533548	0.20753324	-2.382607	1.4927782	0.7211306	0.47163942	1.854622	-2.701114	0.78151035	2.212674	0.507416	-1.0927248	-1.6927588	0.064743884	1.2173282	1.7191708	1.2883687	-0.8187132	-0.7585225	-0.43463498	0.501069	-0.5612383	-0.2815356	0.9298189	-1.6319672	-1.6258084	0.3160791	2.0786529	-1.1375635	-0.75218564	-1.8273683	-0.8722882	-0.8954122	-1.8734049	-0.45920712	-1.3272027	0.21536203	-1.3866953	-0.85778356	-1.926804
8	-1.2035939	0.1413949	-0.07294061	1.5504178	-2.5155084	1.77344	-2.0578978	1.1122863	0.052262444	-3.5438964	-0.37768096	1.5422297	-0.71598774	1.4067148	2.2857292	0.7216484	-2.67947	-0.41900897	-0.6410847	-1.4747224	0.41758272	1.2827138	2.9782202	3.082782	-0.9274941	0.15667082	0.27421582	-0.030179905	1.4292247	1.1422827	0.7201778	1.0570614	-0.360882	2.066258	-2.5368526	0.296154	0.17990829	-0.62943494	2.2753386	-0.41674176	-0.18582393	-0.75443584	-0.9036768	-0.48518997	-1.3970118	-0.52439725	0.4763325	0.13006316	0.45431122	-0.22242858	-0.119482115	0.48649397	0.49629772	0.49910685	-0.0046728095	1.5979639	-0.0017007613	0.5765968	0.40640116	1.36174	0.6045263	0.3030279	-2.6332042	1.6182407	0.76258653	0.4844056	1.925623	-2.900104	0.8417431	2.3616087	0.5239563	-1.2017635	-1.8620054	0.031267934	1.2759181	1.9011294	1.3968949	-0.836038	-0.7824356	-0.5351633	0.52305967	-0.5794106	-0.29497242	0.93077695	-1.8190765	-1.7409765	0.38967553	2.2461092	-1.2175252	-0.80011845	-2.0040874	-0.97686696	-0.9766421	-2.0606563	-0.4494066	-1.4208373	0.21056835	-1.4760393	-0.91374904	-2.0670273
9	-1.2471927	0.14394365	-0.05286668	1.5952239	-2.5092213	1.7898355	-2.0889368	1.1343136	0.05856743	-3.5711432	-0.38807923	1.5470178	-0.74114186	1.4651414	2.2899115	0.7672324	-2.7345252	-0.41210452	-0.6303775	-1.4644532	0.47911185	1.2985705	3.0360222	3.0981655	-0.90304893	0.20390087	0.27652305	-0.040933937	1.4232157	1.1700375	0.72713274	1.0653468	-0.33015814	2.10301	-2.5698347	0.30146334	0.18389031	-0.6309554	2.3085408	-0.42575443	-0.20597953	-0.7538738	-0.96994555	-0.50525284	-1.3788027	-0.4705112	0.47473747	0.11421435	0.47529352	-0.25127995	-0.07027924	0.49633282	0.4480141	0.4856827	-0.02029649	1.6084105	0.004062967	0.589637	0.41813424	1.3143613	0.5945903	0.25015223	-2.6384954	1.6300385	0.80349237	0.47118655	1.9736089	-2.9769201	0.8511227	2.4053798	0.57452285	-1.1876465	-1.8717153	0.035060592	1.2946635	1.9431751	1.4322147	-0.8855801	-0.84651095	-0.48760727	0.54917336	-0.60367453	-0.29914534	0.9763521	-1.8267967	-1.7854792	0.41414234	2.2615197	-1.2419778	-0.7784903	-1.9914845	-0.9677185	-0.9346783	-2.1012444	-0.43053398	-1.4704053	0.19796936	-1.5114465	-0.91245764	-2.1229215
