	0
0	0.98261833
1	0.9806818
2	0.9932686
3	0.996964
4	0.97982836
5	0.8416534
6	0.9430324
7	0.98535264
8	0.9851242
9	0.9738617
10	0.9951625
11	0.5405897
12	0.7639999
13	0.9723449
14	0.987012
15	0.92889374
16	0.98408073
17	0.9788356
18	0.9764706
19	0.9916495
20	0.9891516
21	0.9793378
22	0.9484403
23	0.981244
24	0.72884566
25	0.97250414
26	0.96057725
27	0.13918316
28	0.10195184
29	0.20926178
30	0.11184758
31	0.103199005
32	0.1340451
33	0.14312086
34	0.112486035
35	0.13928816
36	0.15566534
37	0.10700911
38	0.64288014
39	0.10295674
40	0.11428714
