	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
0	3.9356537	-0.7676501	0.1824625	2.0211089	-0.30574661	-1.8815134	-0.7517692	-1.9760746	-3.555951	-0.31351122	-2.0508208	-0.45750716	-0.983422	-1.6502228	-0.48245192	1.6181244	-1.159097	-0.95162237	0.8574355	0.5155895	1.475036	1.3749334	2.013043	-1.0554155	-1.4413505	1.3504815	1.8398442	-1.2050226	3.389416	0.5806212	-0.88025993	-1.2906858	-2.6607249	1.1819854	0.40174505	-0.27127722	-2.5317025	-1.8486677	1.8234613	-2.1190233	1.020346	-0.115384065	3.1166954	0.5027689	-1.3504035	3.7549767	2.6056902	0.6980218	1.3135421	-0.76514536	0.48627028	1.8197659	0.33271635	-0.099761836	-2.6961682	-2.9895594	0.04112018	0.29361182	-1.2366991	0.07433816
1	3.760437	-0.7333244	0.17658876	1.9079503	-0.27157056	-1.8314673	-0.6923905	-1.8767123	-3.412259	-0.29203665	-1.9615663	-0.43239567	-0.93079305	-1.6143137	-0.5038122	1.5842476	-1.1010395	-0.87181437	0.8079219	0.47026986	1.4010514	1.3371	1.9199015	-1.023259	-1.3633733	1.2726063	1.7787879	-1.1675615	3.2585309	0.5645896	-0.825683	-1.2242253	-2.5502067	1.1121505	0.36759225	-0.2907229	-2.4438586	-1.7569617	1.7632991	-2.0178246	0.95341825	-0.10025028	3.0154757	0.48531714	-1.3032418	3.625166	2.4746363	0.64615875	1.2572953	-0.7631834	0.50337404	1.739941	0.31457016	-0.100157954	-2.600641	-2.8849053	0.048236832	0.29482415	-1.2360991	0.06393208
2	3.9394743	-0.80754197	0.17036246	2.0144649	-0.2840912	-1.8989828	-0.7659904	-1.9811119	-3.5435069	-0.3136729	-2.0644116	-0.42237213	-0.9897743	-1.6325508	-0.49403828	1.5917417	-1.1725554	-0.9364241	0.87140244	0.50181407	1.5064785	1.3718638	2.031544	-1.040445	-1.4367305	1.3413475	1.8433701	-1.1879026	3.4041188	0.59582365	-0.91185546	-1.2819997	-2.6381416	1.1426771	0.40584353	-0.25423104	-2.5471692	-1.8449177	1.8280467	-2.123008	1.0469373	-0.12463162	3.1248596	0.4947405	-1.2978798	3.776722	2.5796793	0.6816352	1.3075434	-0.74766326	0.49554792	1.8515341	0.29421532	-0.107157454	-2.6543202	-2.9544785	0.016375953	0.27694264	-1.2177678	0.02754295
3	4.021833	-0.7806025	0.16961357	2.0440261	-0.32210934	-1.9546679	-0.741093	-1.9917269	-3.6359954	-0.31178758	-2.066978	-0.5010984	-1.0116255	-1.6944004	-0.51552933	1.6856964	-1.1799774	-0.9372131	0.87490416	0.5166334	1.5113096	1.4044676	2.0655808	-1.0558634	-1.4647341	1.3779404	1.8830838	-1.2512622	3.483393	0.599884	-0.85606253	-1.330606	-2.74176	1.2153184	0.38632664	-0.31863713	-2.5990462	-1.8697983	1.8563398	-2.1806378	1.0245113	-0.1088219	3.2042153	0.5425045	-1.4066299	3.8543575	2.6644466	0.69995356	1.3219465	-0.82121295	0.5389064	1.8357275	0.36428583	-0.1220797	-2.7737627	-3.076926	0.0455648	0.3107436	-1.3152089	0.07338471
4	3.5021565	-0.70429087	0.1626914	1.8128266	-0.25357175	-1.6813067	-0.6873255	-1.7756503	-3.1752343	-0.25406772	-1.8404838	-0.39098483	-0.8835591	-1.485366	-0.467689	1.4805914	-1.0269775	-0.8197423	0.75643057	0.4279692	1.3176718	1.2439791	1.8035614	-0.98205525	-1.2712709	1.2182105	1.64673	-1.0968302	3.0640996	0.5053618	-0.7630743	-1.149551	-2.3953745	1.0385873	0.35893095	-0.27907634	-2.2870276	-1.6435777	1.6493497	-1.9189985	0.92782605	-0.1124528	2.8347676	0.42848548	-1.2229565	3.3793116	2.325393	0.62991196	1.1858002	-0.7162474	0.45652503	1.6379129	0.2855485	-0.09772537	-2.4294217	-2.7140148	0.03539875	0.2789671	-1.1222407	0.054600984
5	3.9282613	-0.79984456	0.164524	2.0278578	-0.3130141	-1.8532971	-0.7562164	-1.9703201	-3.5450556	-0.32076257	-2.0584352	-0.42269817	-1.010248	-1.6474129	-0.5067394	1.5751548	-1.1563088	-0.94132423	0.87727076	0.5040493	1.4797314	1.3657881	2.0117986	-1.0851245	-1.4444366	1.3488425	1.8261737	-1.1854652	3.3689008	0.5798698	-0.8643336	-1.2748964	-2.6628993	1.1627971	0.42664486	-0.25837493	-2.5346391	-1.8513263	1.8227109	-2.1365635	1.0414249	-0.12452825	3.1059885	0.47087103	-1.3063322	3.7815106	2.585735	0.70360917	1.3233068	-0.7658201	0.5201689	1.8275166	0.31083325	-0.1143188	-2.67383	-2.9936993	0.045384757	0.3035053	-1.1880541	0.057321336
6	4.177831	-0.82470506	0.1629421	2.116111	-0.3310839	-2.0080047	-0.76931155	-2.0642464	-3.7936804	-0.31420022	-2.1215262	-0.48511168	-1.0632826	-1.7623689	-0.56379116	1.7381247	-1.2205865	-0.9507246	0.9144749	0.5129985	1.5561264	1.5064626	2.128973	-1.110032	-1.5165154	1.4354542	1.9844904	-1.2995226	3.6187491	0.6120933	-0.88055736	-1.369879	-2.8416243	1.2593012	0.3901178	-0.34810543	-2.7209365	-1.9187927	1.9551545	-2.2666914	1.0702393	-0.124693446	3.3298008	0.5347714	-1.4429035	4.027916	2.7346575	0.74111027	1.3740637	-0.8518683	0.5671016	1.9162982	0.38006884	-0.12676929	-2.8707383	-3.1949456	0.042538397	0.31176203	-1.3615059	0.09490032
7	3.7102413	-0.68225324	0.12700547	1.8776907	-0.2769296	-1.7441425	-0.69726676	-1.8121926	-3.2964284	-0.27848834	-1.9276537	-0.4968099	-0.9388641	-1.6153032	-0.5449346	1.5815133	-1.0868924	-0.8364565	0.80746114	0.49533802	1.3900125	1.330351	1.8971366	-1.0471301	-1.3233743	1.2749735	1.7806884	-1.1735554	3.1821597	0.5163627	-0.82499427	-1.2064763	-2.545478	1.1729854	0.32208154	-0.30416694	-2.3828251	-1.7898058	1.6934507	-2.0213287	0.8860687	-0.1101767	2.983702	0.51032543	-1.3677032	3.5882194	2.434271	0.6499505	1.2362355	-0.76627636	0.45532334	1.6863854	0.35538074	-0.07432635	-2.6283085	-2.8468688	0.047437396	0.33457124	-1.2301606	0.1039166
8	3.995177	-0.783427	0.1726274	2.0205467	-0.28817627	-1.9607795	-0.71983445	-1.9772677	-3.6383343	-0.3060739	-2.0947652	-0.49918234	-0.99895453	-1.7472231	-0.5606684	1.6822023	-1.1529844	-0.9305517	0.88260204	0.5031935	1.4946746	1.4285085	2.0435483	-1.0621324	-1.4467334	1.3695731	1.8974409	-1.2268246	3.4592164	0.59968454	-0.84339446	-1.3328722	-2.7304962	1.2150372	0.36036953	-0.3398371	-2.6059537	-1.8978249	1.8651185	-2.1700892	1.0119797	-0.09952348	3.1975322	0.5277422	-1.397416	3.8553827	2.6302843	0.71599233	1.3259187	-0.8108589	0.5572161	1.8157567	0.36203447	-0.11952517	-2.7677171	-3.064135	0.04181919	0.32253218	-1.3226584	0.08240674
9	4.0013185	-0.8530028	0.15123104	2.0841346	-0.31329167	-1.9399977	-0.76220894	-2.0074236	-3.6079202	-0.2856739	-2.0981631	-0.4921245	-1.0326859	-1.6794239	-0.53694	1.6423882	-1.145331	-0.93868816	0.9158312	0.5131361	1.5191873	1.403126	2.0927715	-1.0851184	-1.4517301	1.4152668	1.9025508	-1.2000967	3.4755821	0.55869526	-0.86251014	-1.3387212	-2.7632875	1.2029258	0.4000569	-0.3234679	-2.618335	-1.8669049	1.8966486	-2.2274587	1.0847152	-0.09393254	3.1930344	0.4849136	-1.3739129	3.8500955	2.6688976	0.74289566	1.3397957	-0.8229301	0.5488984	1.8380268	0.31636685	-0.12823972	-2.731967	-3.0627744	0.019095682	0.31105256	-1.2527393	0.054952033
